Datation;CUID;NumeroDossier;exploitables;Reit1h;Reit1J;Reit7J;Reit14J;Date_Format_1
01/09/2023;FFHB4473;321871856;1;;;;;20230901
01/09/2023;FFHB4473;601630014;1;;;;;20230901
01/09/2023;FFHB4473;602373569;1;;;;;20230901
01/09/2023;FFHB4473;605616209;1;1;1;1;1;20230901
01/09/2023;FFHB4473;605831644;1;;;;;20230901
01/09/2023;FFHB4473;608514537;1;;;;;20230901
01/09/2023;FFHB4473;614383945;1;;;;;20230901
01/09/2023;FFHB4473;616608483;1;;;;;20230901
01/09/2023;FFHB4473;616801057;1;;;;;20230901
01/09/2023;FFHB4473;619215090;1;;;;;20230901
01/09/2023;FFHB4473;621448684;1;;;;;20230901
01/09/2023;FFHB4473;625994152;2;;1;1;1;20230901
01/09/2023;FFHB4473;628609633;1;;;;;20230901
01/09/2023;FFHB4473;635225623;1;;;;;20230901
01/09/2023;FFHB4473;640370954;1;;1;1;1;20230901
01/09/2023;FFHB4473;646623030;1;;;;;20230901
01/09/2023;FFHB4473;647334308;1;;;;;20230901
01/09/2023;FFHB4473;648803845;1;;;;;20230901
01/09/2023;FFHB4473;650449868;1;;;;;20230901
01/09/2023;FFHB4473;651515764;1;;;;;20230901
01/09/2023;FFHB4473;651624683;2;1;1;1;1;20230901
01/09/2023;FFHB4473;651981355;1;;;;;20230901
01/09/2023;FFHB4473;652059282;1;;;;;20230901
01/09/2023;FFHB4473;652436703;1;;1;1;1;20230901
