CUID;KPI_Item;FamilleKpiHisto;Date_Format_1;Flux;DEN;NUM;Annule
BCVC7070;KPI1;ACQ BB FIBRE;20231219;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20231227;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240102;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240118;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240119;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240126;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240201;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240205;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240206;Open;2;0;2
BCVC7070;KPI1;ACQ BB FIBRE;20240209;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240220;Open;2;0;2
BCVC7070;KPI1;ACQ BB FIBRE;20240221;Open;2;0;2
BCVC7070;KPI1;ACQ BB FIBRE;20240226;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240228;Open;1;0;1
BCVC7070;KPI1;ACQ BB FIBRE;20240321;Open;1;1;
BCVC7070;KPI1;ACQ BB HD;20231221;Open;1;0;1
BCVC7070;KPI1;ACQ BB HD;20240220;Open;1;0;1
BCVC7070;KPI1;ACQ BB HD;20240314;Open;1;1;
BCVC7070;KPI1;ACQ BB HD;20240315;Open;1;1;
BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231204;Open;1;0;1
BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231205;Open;1;0;1
BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231214;Open;1;0;1
BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231218;Open;1;0;1
BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231221;Open;2;0;2
