Datation;CUID;Lib_Equipe;NbCommande;Annulee;EnCours;Raccorder;Resilie;Date_Format_1;Flux
02/01/2023;BCVC7070;EQU KONECTA MA N1 AC OPEN;3;0;1;2;0;20230102;Open
02/01/2023;BJQL0141;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;BLRW7320;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;BTDP9195;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;BTXD7949;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;BXQC3317;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;CRJM4333;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;CYJT4502;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;DBDL6760;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;DCVG1772;EQU KONECTA MA N1 AC OPEN;2;1;0;1;0;20230102;Open
02/01/2023;DKGK9624;EQU KONECTA MA N1 AC OPEN;5;0;1;4;0;20230102;Open
02/01/2023;DRMF9125;EQU KONECTA MA N1 AC OPEN;1;1;0;0;0;20230102;Open
02/01/2023;DWKC7480;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;DWNL0550;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;DYSW8625;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;FFPH3201;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;FQWN9148;EQU KONECTA MA N1 AC OPEN;2;1;0;1;0;20230102;Open
02/01/2023;FYJC0099;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;GBGF2790;EQU KONECTA MA N1 AC OPEN;2;1;0;1;0;20230102;Open
02/01/2023;GGBL5414;EQU KONECTA MA N1 AC OPEN;1;0;1;0;0;20230102;Open
02/01/2023;GGLK3908;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;GHYK6320;EQU KONECTA MA N1 AC OPEN;1;0;0;1;0;20230102;Open
02/01/2023;GHZD9419;EQU KONECTA MA N1 AC OPEN;4;2;0;2;0;20230102;Open
