Datation;CUID;Lib_Equipe;KPI;FamilleKpiHisto;SousKpi;Total;Date_Format_1;Flux;KPI_Item
01/01/2023;CTYR2798;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS PREMIUM;1;20230101;Open;KPI6
01/01/2023;GHZD9419;EQU KONECTA MA N1 AC OPEN;KPI5 TERMINAUX MOBILE;TERMINAUX NUS;TERMINAUX AU COMPTANT;1;20230101;Open;KPI5
01/01/2023;HVMC4815;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS PREMIUM;1;20230101;Open;KPI6
01/01/2023;HVMC4815;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS STANDARD;1;20230101;Open;KPI6
01/01/2023;JMBN8157;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS STANDARD;BOUQUETS STANDARD;1;20230101;Open;KPI6
01/01/2023;KCQP8517;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS PREMIUM;1;20230101;Open;KPI6
01/01/2023;KCSB1285;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS PREMIUM;1;20230101;Open;KPI6
01/01/2023;KCSB1285;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS STANDARD;1;20230101;Open;KPI6
01/01/2023;MTQN4323;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS PREMIUM;1;20230101;Open;KPI6
01/01/2023;NDWC3275;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS STANDARD;BOUQUETS STANDARD;1;20230101;Open;KPI6
01/01/2023;NGJG9792;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS STANDARD;BOUQUETS STANDARD;1;20230101;Open;KPI6
01/01/2023;QCKW0371;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS STANDARD;BOUQUETS STANDARD;1;20230101;Open;KPI6
01/01/2023;QCRM8665;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS PREMIUM;1;20230101;Open;KPI6
01/01/2023;VGHB3239;EQU KONECTA MA N1 AC OPEN;KPI2 SOCLE MOBILE;FORFAITS MOBILE ORANGE CLIENTS OPEN ML;HDM OPEN ML SIM;1;20230101;Open;KPI2
01/01/2023;VHJC4499;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS STANDARD;BOUQUETS STANDARD;1;20230101;Open;KPI6
01/01/2023;XTXY7715;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS PREMIUM;BOUQUETS PREMIUM;1;20230101;Open;KPI6
01/01/2023;YCHQ5904;EQU KONECTA MA N1 AC OPEN;KPI6 SERVICES MAISON;BOUQUETS STANDARD;BOUQUETS STANDARD;1;20230101;Open;KPI6
02/01/2023;BCVC7070;EQU KONECTA MA N1 AC OPEN;KPI1 SOCLE BB;ACQ BB FIBRE;VENTES BRUTES FIBRE HOME;2;20230102;Open;KPI1
02/01/2023;BCVC7070;EQU KONECTA MA N1 AC OPEN;KPI3 MEV ACCES;MEV INTRA BB;MEV INTRA OPEN PATTE BB;1;20230102;Open;KPI3
02/01/2023;BCVC7070;EQU KONECTA MA N1 AC OPEN;KPI3 MEV ACCES;MEV INTRA MOBILE;MEV INTRA OPEN PATTE MOBILE;1;20230102;Open;KPI3
02/01/2023;BFDD5982;EQU KONECTA MA N1 AC OPEN;KPI1 SOCLE BB;MIG FIBRE VERS ADSL;MIGR OPEN VERS OPEN;1;20230102;Open;KPI1
02/01/2023;BFDD5982;EQU KONECTA MA N1 AC OPEN;KPI3 MEV ACCES;MEV INTRA BB;MEV INTRA OPEN PATTE BB;1;20230102;Open;KPI3
02/01/2023;BJQL0141;EQU KONECTA MA N1 AC OPEN;KPI1 SOCLE BB;MIG ADSL VERS FIBRE;MIG OPEN VERS OPEN;1;20230102;Open;KPI1
02/01/2023;BJQL0141;EQU KONECTA MA N1 AC OPEN;KPI3 MEV ACCES;MEV INTRA MOBILE;MEV INTRA OPEN PATTE MOBILE;1;20230102;Open;KPI3
