Datation;CUID;Competence;Appels_traites;Appels_courts;Appels_abandon_sur_sonnerie;Appels_rotation_sur_sonnerie;Appels_mis_en_attente;Duree_log_total;Duree_log_face_au_client;Duree_dispo_CC;Duree_log_face_au_client_hors_attente;Duree_traitement;Duree_conversation_appels_entrants;Duree_garde_appels_entrants;Duree_pas_libre;Duree_wrapup;Duree_pause_entre_appels;Duree_THC;Date_Format_1;Flux
01/01/2023;BCDL1022;hHDAdsl;1;0;0;0;1;3596;2799,25;1895,25;904;439;285;136;18;15;3;0;20230101;Autre
01/01/2023;BCDL1022;hHDCtcDco;1;0;0;0;1;3596;2997,25;1510,25;1487;781;444;327;10;10;0;0;20230101;Autre
01/01/2023;BCDL1022;hHDCtcHd;0;0;0;0;0;1796;1197,25;736,25;461;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;BCDL1022;hHDFibre;3;0;0;0;2;7196;6076,25;3570,25;2506;2023;1442;527;54;45;9;0;20230101;Autre
01/01/2023;BKSN9185;hHDAdsl;5;0;0;0;1;8183,3164;6806,5923;4710,375;2096,2173;1943,0713;1182;146;615,0712;70;12,3795;532,6917;20230101;Autre
01/01/2023;BKSN9185;hHDCtcHd;3;0;0;0;0;7040,0977;5912,4312;3852,3677;2060,0635;1925,5227;1503;0;422,5226;35;7,8889;379,6338;20230101;Autre
01/01/2023;BKSN9185;hHDFibre;5;0;0;0;2;11688,585;10230,9766;4004,2578;6226,7188;5406,4058;4092;716;598,4061;56;9,7316;532,6745;20230101;Autre
01/01/2023;BNDV8490;ChatMessHors;0;0;0;0;0;28732;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;CLHZ1540;hHDCtcDco;0;0;0;0;0;7152,666;5974;5140,3335;833,6665;6,6667;0;0;6,6667;0;1,3333;5,3333;20230101;Autre
01/01/2023;CLHZ1540;hHDRaDcoAdsl;0;0;0;0;0;7152,667;5974;5140,3335;833,6665;6,6667;0;0;6,6667;0;1,3333;5,3333;20230101;Autre
01/01/2023;CLHZ1540;hHDRaDcoFibre;2;0;0;0;0;10922,666;9744;5677,3335;4066,6665;3046,6667;2908;0;138,6667;31;12,3333;95,3333;20230101;Autre
01/01/2023;DCCB7362;hHDAdsl;1;0;0;0;0;1376,2222;1259,8889;489,6667;770,2222;399,5555;114;0;285,5555;3;3,3333;279,2222;20230101;Autre
01/01/2023;DCCB7362;hHDCtcDco;0;0;0;0;0;500,2222;383,8889;151,6667;232,2222;4,5556;0;0;4,5556;0;0,3333;4,2222;20230101;Autre
01/01/2023;DCCB7362;hHDFibre;1;0;0;0;0;2300,2222;2183,8889;249,6667;1934,2223;1701,5555;1553;0;148,5556;15;3,3333;130,2222;20230101;Autre
01/01/2023;DCCB7362;hHDNuit;0;0;0;0;0;500,2222;383,8889;151,6667;232,2222;4,5556;0;0;4,5556;0;0,3333;4,2222;20230101;Autre
01/01/2023;DCCB7362;hHDRaDcoAdsl;0;0;0;0;0;500,2222;383,8889;151,6667;232,2222;4,5556;0;0;4,5556;0;0,3333;4,2222;20230101;Autre
01/01/2023;DCCB7362;hHDRaDcoFibre;0;0;0;0;0;500,2222;383,8889;151,6667;232,2222;4,5556;0;0;4,5556;0;0,3333;4,2222;20230101;Autre
01/01/2023;DCCB7362;hHDRd3Adsl;0;0;0;0;0;500,2222;383,8889;151,6667;232,2222;4,5556;0;0;4,5556;0;0,3333;4,2222;20230101;Autre
01/01/2023;DCCB7362;hHDRd3Fibre;0;0;0;0;0;500,2222;383,8889;151,6667;232,2222;4,5556;0;0;4,5556;0;0,3333;4,2222;20230101;Autre
01/01/2023;DCCB7362;mHnoAC;0;0;0;0;0;500,2222;383,8889;151,6667;232,2222;4,5556;0;0;4,5556;0;0,3333;4,2222;20230101;Autre
01/01/2023;DQJZ3311;hHDAdsl;5;0;0;0;2;10031,0371;9312,7041;5902,6592;3410,0449;3246,0225;2464;510;272,0225;74;17,0225;181;20230101;Autre
01/01/2023;DQJZ3311;hHDCtcHd;3;0;0;0;0;6127,667;5214,3335;3494,3335;1720;1561,9999;1376;0;186;37;7;142;20230101;Autre
