Datation;Demiheure;Type_Origine;Tendance;Competence;Offre;Presentes;Presentes_nominal;Presentes_en_debo;Traites;Traites_nominal;Traites_en_debo;Dissuades;Abandons;DMAbd;DMR;Abandons_courts;Abandons_longs;Date_Format_1;Flux;Sous_Flux
17/12/2023;00:00:00;Clic_To_Call;HD;hHDCtcDco;NC;0;0;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;Clic_To_Call;HD;hHDCtcHd;NC;1;1;0;1;1;0;0;0;;6;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;CONVERGENT;mHnoAC;MIXTE;1;1;0;1;1;0;0;0;;4;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;FORFAITS;mHnoAC;MIXTE;1;1;0;1;1;0;0;0;;4;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;HD;hHDAdsl;NC;2;2;0;2;2;0;0;0;;9,5;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;HD;hHDDom;NC;1;1;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;HD;hHDNuit;NC;0;0;0;1;1;0;0;0;;4;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;HD;hHDRaDcoFibre;NC;1;0;1;1;0;1;0;0;;5;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;THD;hHDFibre;LA FIBRE;1;1;0;1;1;0;0;0;;4;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;THD;hHDFibreDom;LA FIBRE;0;0;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;THD;hHDNuit;LA FIBRE;0;0;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;THD;hHDRaDcoFibre;LA FIBRE;1;1;0;1;1;0;0;0;;5;0;0;20231217;Autre;Autre
17/12/2023;00:00:00;Transfert;HD;hHDNuit;NC;0;0;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;Clic_To_Call;HD;hHDCtcDco;NC;0;0;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;Clic_To_Call;HD;hHDCtcHd;NC;1;1;0;1;1;0;0;0;;4;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;HD;hHDAdsl;NC;0;0;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;HD;hHDDom;NC;1;1;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;HD;hHDNuit;NC;0;0;0;1;1;0;0;0;;4;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;THD;hHDFibre;LA FIBRE;2;2;0;1;1;0;0;1;8;3;1;0;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;THD;hHDFibreDom;LA FIBRE;2;2;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;THD;hHDNuit;LA FIBRE;0;0;0;2;2;0;0;0;;6;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;THD;hHDRaDcoFibre;LA FIBRE;0;0;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;Transfert;HD;hHDDom;NC;2;2;0;0;0;0;0;0;;;0;0;20231217;Autre;Autre
17/12/2023;00:30:00;Transfert;HD;hHDNuit;NC;0;0;0;2;2;0;0;0;;6,5;0;0;20231217;Autre;Autre
