Indicateur;LibResolution;CUID;Datation;NumerateurSco;DenominateurSco;ValeurIndicateurSco;Date_Format_1
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;01/11/2023 00:00;1;1;100;20231101
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;03/11/2023 00:00;-2;2;-100;20231103
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;08/11/2023 00:00;;1;;20231108
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;15/11/2023 00:00;1;1;100;20231115
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;18/11/2023 00:00;1;1;100;20231118
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;21/11/2023 00:00;1;1;100;20231121
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;22/11/2023 00:00;-1;1;-100;20231122
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;25/11/2023 00:00;;1;;20231125
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KBQX7553;30/11/2023 00:00;1;1;100;20231130
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KCQP8517;28/11/2023 00:00;-1;1;-100;20231128
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KCQP8517;29/11/2023 00:00;1;1;100;20231129
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;KCQP8517;30/11/2023 00:00;1;1;100;20231130
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;WGGG1488;11/11/2023 00:00;-1;1;-100;20231111
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;WGGG1488;12/11/2023 00:00;1;1;100;20231112
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;WGGG1488;22/11/2023 00:00;1;1;100;20231122
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;RBPK9088;05/11/2023 00:00;1;1;100;20231105
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;RBPK9088;09/11/2023 00:00;1;1;100;20231109
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;RBPK9088;11/11/2023 00:00;1;1;100;20231111
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;RBPK9088;17/11/2023 00:00;;1;;20231117
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;RBPK9088;18/11/2023 00:00;-1;1;-100;20231118
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;MGLB1292;07/11/2023 00:00;;1;;20231107
Delta SAT en SC ATM - Q6 - Satisfaction interaction;0 Script AT/SAV pour AC;MGLB1292;10/11/2023 00:00;-1;1;-100;20231110
