Datation;Flux;Activité ou Campagne;Prevision;Capacitaire;Presentes;Traites;DMT;QP;QS;QE
2023-01-01;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-01-02;Convergents + Mobile;ORANGE AC;6268,888888888889;5563,441339;4794,0;4499,0;700,4380603234382;0,7647288195675292;0,9384647476011682;0,7176710386387806
2023-01-03;Convergents + Mobile;ORANGE AC;5446,666666666667;5456,28035;4221,0;3926,0;728,9362136548223;0,774969400244798;0,9301113480217957;0,7208078335373317
2023-01-04;Convergents + Mobile;ORANGE AC;5595,555555555556;5747,363412;4971,0;4779,0;691,0269921760902;0,888383637807784;0,9613759806879904;0,8540706910246227
2023-01-05;Convergents + Mobile;ORANGE AC;5084,444444444445;5033,339178;4641,0;4538,0;706,7285380324989;0,9127840909090907;0,9778065072182719;0,8925262237762236
2023-01-06;Convergents + Mobile;ORANGE AC;5146,666666666667;4961,605128;4504,0;4383,0;698,4714028655902;0,8751295336787565;0,9731349911190054;0,8516191709844559
2023-01-07;Convergents + Mobile;ORANGE AC;3206,666666666667;3127,077973;3123,0;3032,0;685,434624458306;0,9739085239085238;0,9708613512648094;0,9455301455301455
2023-01-08;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-01-09;Convergents + Mobile;ORANGE AC;5322,222222222223;6053,56057;5709,0;5537,0;700,7969824491998;1,0726722338204593;0,9698721317218427;1,0403549060542796
2023-01-10;Convergents + Mobile;ORANGE AC;4722,222222222223;5894,491564;5082,0;4931,0;694,8561904261765;1,0761882352941174;0,9702872884691066;1,0442117647058822
2023-01-11;Convergents + Mobile;ORANGE AC;4851,111111111111;6072,986208;4836,0;4735,0;705,4347400758534;0,9968850206138341;0,979114971050455;0,9760650480989463
2023-01-12;Convergents + Mobile;ORANGE AC;4405,555555555556;5610,42024;3866,0;3764,0;733,3566964465658;0,8775283732660781;0,9736161407139162;0,8543757881462799
2023-01-13;Convergents + Mobile;ORANGE AC;4462,222222222223;5508,484956;4199,0;4057,0;679,7049975417895;0,9410109561752987;0,9661824243867587;0,9091882470119521
2023-01-14;Convergents + Mobile;ORANGE AC;2778,888888888889;3475,773925;2830,0;2751,0;687,5030823806078;1,0183926429428227;0,9720848056537102;0,9899640143942422
2023-01-15;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-01-16;Convergents + Mobile;ORANGE AC;5576,666666666667;5718,28264;5411,0;5285,0;699,155436495662;0,9702928870292886;0,9767141009055628;0,9476987447698745
2023-01-17;Convergents + Mobile;ORANGE AC;4840,0;5617,846015;4785,0;4649,0;728,8696888960343;0,9886363636363636;0,9715778474399164;0,9605371900826446
2023-01-18;Convergents + Mobile;ORANGE AC;4968,888888888889;5978,509136;4975,0;4860,0;690,9701020542317;1,0012298747763864;0,9768844221105528;0,9780858676207513
2023-01-19;Convergents + Mobile;ORANGE AC;4515,555555555556;5290,493634;4858,0;4712,0;676,2871594313601;1,0758366141732283;0,9699464800329354;1,043503937007874
2023-01-20;Convergents + Mobile;ORANGE AC;4570,0;5173,338754;4290,0;4227,0;699,916962966462;0,9387308533916849;0,9853146853146854;0,924945295404814
2023-01-21;Convergents + Mobile;ORANGE AC;2848,888888888889;3263,581962;2854,0;2778,0;655,2748153652393;1,0017940717628704;0,9733707077785564;0,9751170046801871
2023-01-22;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-01-23;Convergents + Mobile;ORANGE AC;5753,333333333334;5950,873972;5103,0;4977,0;668,1656469272617;0,8869640787949015;0,9753086419753086;0,865063731170336
2023-01-24;Convergents + Mobile;ORANGE AC;4991,111111111111;5819,263389;4911,0;4812,0;646,6113679032931;0,9839492430988424;0,9798411728772144;0,964113980409617
2023-01-25;Convergents + Mobile;ORANGE AC;5126,666666666666;6277,056684;5322,0;5154,0;658,1847570532915;1,038101430429129;0,9684329199549042;1,005331599479844
2023-01-26;Convergents + Mobile;ORANGE AC;4657,777777777778;5535,733541;4676,0;4544,0;648,7701893803323;1,003912213740458;0,9717707442258341;0,9755725190839694
2023-01-27;Convergents + Mobile;ORANGE AC;4715,555555555556;5456,839476;4758,0;4637,0;659,8842636564851;1,0090009425070687;0,9745691467002943;0,9833411875589066
2023-01-28;Convergents + Mobile;ORANGE AC;2938,8888888888887;3440,988357;2522,0;2465,0;633,4384689249493;0,8581474480151229;0,9773988897700238;0,8387523629489604
2023-01-29;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-01-30;Convergents + Mobile;ORANGE AC;6296,666666666668;5908,809582;5762,0;5637,0;639,5653506333696;0,9150873478030702;0,9783061437001042;0,8952355743779776
2023-01-31;Convergents + Mobile;ORANGE AC;5462,222222222223;5794,996235;7090,0;6723,0;622,1190525381087;1,2980065093572009;0,9482369534555712;1,2308177379983725
2023-02-01;Convergents + Mobile;ORANGE AC;5813,333333333333;5947,016778;5470,0;5376,0;669,5174648959882;0,9409403669724771;0,9828153564899451;0,9247706422018349
2023-02-02;Convergents + Mobile;ORANGE AC;5281,111111111111;5241,445652;4825,0;4727,0;647,3768814705261;0,9136334946349673;0,9796891191709844;0,8950767936040395
2023-02-03;Convergents + Mobile;ORANGE AC;5341,111111111111;5084,332714;4502,0;4405,0;667,1484031987296;0,8428957769918868;0,9784540204353621;0,8247347618056999
