Date;Matricule;Activite;Campagne;Heures_Connecte;Heures_Pause;Heures_Brief;Heures_FC;Heures_Dispo;Chiffre_Affaire;Appels_traitees;Connexion;Heures_Productives;Heures_Realisees;Appels_Transfert;NB_1Etoile;NB_2Etoile;NB_3Etoile;NB_4Etoile;NB_5Etoile;Appels_reiit_7j;Appels_reiit_1h;Appels_exploitable;Duree_traitement;Ventes;Appels_Recu
19/02/2024;Global;PAL_ORANGE OPEN;PAL_ORANGE OPEN;1152,5073583712842;93,26472222222222;43,68222222222222;6,864166666666667;85,4307622569965;15450,0;5000,0;1152,5073583712842;883,2718742059999;1255,9504;326,0;6,0;1,0;4,0;17,0;98,0;788,0;166,0;4752,0;3179778,7471415997;435,0;5144,0
19/02/2024;MA11867;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,597500169542101;0,7477777777777778;0,0;0,0;0,2683333333333333;98,88;32,0;8,597500169542101;7,400277709960938;8,7167;2,0;0,0;0,0;0,0;1,0;0,0;3,0;0,0;31,0;26640,999755859375;2,0;0,0
19/02/2024;MA13247;PAL_ORANGE OPEN;PAL_ORANGE OPEN;7,29;0,8755555555555555;0,0;0,0;0,7080555555555555;139,04999999999998;45,0;7,29;5,252222222222223;7,75;7,0;0,0;0,0;0,0;0,0;0,0;6,0;2,0;41,0;18908,0;4,0;0,0
19/02/2024;MA14743;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,52888916015625;0,51;0,0;0,0;0,4077777777777778;86,52;28,0;6,52888916015625;5,611111111111111;6,5833;3,0;1,0;0,0;0,0;0,0;1,0;6,0;1,0;28,0;20200,0;1,0;0,0
19/02/2024;MA5851;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,686944173177083;0,9358333333333333;0,0;0,0;0,03972222010294597;64,89;21,0;6,686944173177083;5,4969445376926;6,3667;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;21,0;19789,00033569336;1,0;0,0
19/02/2024;MA7811;PAL_ORANGE OPEN;PAL_ORANGE OPEN;5,5488888888888885;0,5158333333333334;0,16194444444444445;0,0;1,1891666666666667;46,349999999999994;15,0;5,5488888888888885;2,5222222222222213;5,5833;4,0;0,0;0,0;0,0;0,0;0,0;4,0;2,0;15,0;9080,0;1,0;0,0
19/02/2024;MAA005264;PAL_ORANGE OPEN;PAL_ORANGE OPEN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,85;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19/02/2024;MAA006816;PAL_ORANGE OPEN;PAL_ORANGE OPEN;1,7830556233723958;0,0;0,1297222222222222;0,0;0,11861111111111111;21,63;7,0;1,7830556233723958;1,5347222900390622;1,5;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;7,0;5525,000244140625;1,0;0,0
19/02/2024;MAA008247;PAL_ORANGE OPEN;PAL_ORANGE OPEN;6,52638926188151;0,14916666666666667;0,3675;0,0;0,2802777777777778;92,69999999999999;30,0;6,52638926188151;5,671667031182183;6,25;5,0;0,0;0,0;0,0;0,0;1,0;4,0;1,0;30,0;20418,00131225586;5,0;0,0
19/02/2024;MAA010512;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,458888617621527;0,9322222222222222;0,0005555555555555556;0,0;0,3019444529215495;111,24;36,0;8,458888617621527;6,037499957614475;8,5;1,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;34,0;21734,99984741211;3,0;0,0
19/02/2024;MAA011607;PAL_ORANGE OPEN;PAL_ORANGE OPEN;8,393332655164931;0,7575;1,65;0,0;0,4113888661066691;101,97;33,0;8,393332655164931;5,535000194973417;8,4833;2,0;0,0;0,0;0,0;0,0;0,0;6,0;2,0;33,0;19926,000701904297;2,0;0,0
19/02/2024;MAA011933;PAL_ORANGE OPEN;PAL_ORANGE OPEN;9,176666802300348;0,7791666666666667;0,0;0,0;2,502222222222222;89,61;29,0;9,176666802300348;5,8755559624565965;9,0;3,0;0,0;0,0;0,0;1,0;1,0;8,0;3,0;29,0;21152,00146484375;12,0;0,0
