Mois;CUID;KPI_Item;FamilleKpiHisto;Date_Format_1;Flux;Total
202312;BCVC7070;KPI1;ACQ BB FIBRE;20231219;Open;1
202312;BCVC7070;KPI1;ACQ BB FIBRE;20231227;Open;1
202312;BCVC7070;KPI1;ACQ BB HD;20231221;Open;1
202312;BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231204;Open;1
202312;BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231205;Open;1
202312;BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231214;Open;1
202312;BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231218;Open;1
202312;BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231221;Open;2
202312;BCVC7070;KPI1;MIG ADSL VERS FIBRE;20231227;Open;2
202312;BCVC7070;KPI1;MIG FIBRE VERS ADSL;20231205;Open;1
202312;BCVC7070;KPI1;MIG FIBRE VERS ADSL;20231211;Open;1
202312;BCVC7070;KPI2;FORFAITS MOBILE ORANGE CLIENTS OPEN ML;20231205;Open;1
202312;BCVC7070;KPI2;FORFAITS MOBILE ORANGE CLIENTS OPEN ML;20231221;Open;1
202312;BCVC7070;KPI2;FORFAITS MOBILE ORANGE CLIENTS OPEN ML;20231226;Open;1
202312;BCVC7070;KPI3;MEV BB;20231204;Open;1
202312;BCVC7070;KPI3;MEV BB;20231205;Open;1
202312;BCVC7070;KPI3;MEV BB;20231208;Open;1
202312;BCVC7070;KPI3;MEV BB;20231211;Open;1
202312;BCVC7070;KPI3;MEV BB;20231213;Open;1
202312;BCVC7070;KPI3;MEV BB;20231218;Open;1
202312;BCVC7070;KPI3;MEV BB;20231219;Open;1
202312;BCVC7070;KPI3;MEV BB;20231220;Open;2
202312;BCVC7070;KPI3;MEV BB;20231221;Open;1
202312;BCVC7070;KPI3;MEV BB;20231226;Open;1
