Datation;Demiheure;Type_Origine;Competence;Tendance;Offre;Presentes;Traites;Courts;Date_Format_1;Flux;Sous_Flux
17/12/2023;00:00:00;SVI;hHDAdsl;HD;NC;2;2;;20231217;Autre;Autre
17/12/2023;00:00:00;Clic_To_Call;hHDCtcDco;HD;NC;0;0;;20231217;Autre;Autre
17/12/2023;00:00:00;Clic_To_Call;hHDCtcHd;HD;NC;1;1;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;hHDDom;HD;NC;1;0;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;hHDFibre;THD;LA FIBRE;1;1;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;hHDFibreDom;THD;LA FIBRE;0;0;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;hHDNuit;HD;NC;0;1;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;hHDNuit;THD;LA FIBRE;0;0;;20231217;Autre;Autre
17/12/2023;00:00:00;Transfert;hHDNuit;HD;NC;0;0;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;hHDRaDcoFibre;HD;NC;1;1;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;hHDRaDcoFibre;THD;LA FIBRE;1;1;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;mHnoAC;CONVERGENT;MIXTE;1;1;;20231217;Autre;Autre
17/12/2023;00:00:00;SVI;mHnoAC;FORFAITS;MIXTE;1;1;;20231217;Autre;Autre
17/12/2023;00:30:00;SVI;hHDAdsl;HD;NC;0;0;;20231217;Autre;Autre
17/12/2023;00:30:00;Clic_To_Call;hHDCtcDco;HD;NC;0;0;;20231217;Autre;Autre
