Datation;Demi_heure;Competence;Appels_traites;Appels_courts;Appels_abandon_sur_sonnerie;Appels_rotation_sur_sonnerie;Appels_mis_en_attente;Duree_log_total;Duree_log_face_au_client;Duree_dispo_CC;Duree_log_face_au_client_hors_attente;Duree_traitement;Duree_conversation_appels_entrants;Duree_garde_appels_entrants;Duree_pas_libre;Duree_wrapup;Duree_pause_entre_appels;Duree_THC;Date_Format_1;Flux
01/01/2023;08:00:00;ChatMessHors;0;0;0;0;0;5184;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;08:30:00;ChatMessHors;0;0;0;0;0;5439;0;0;0;0;0;0;0;0;0;1;20230101;Autre
01/01/2023;09:00:00;ChatMessHors;0;0;0;0;0;9359;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;09:30:00;ChatMessHors;0;0;0;0;0;10800;0;0;0;0;0;0;0;0;0;1;20230101;Autre
01/01/2023;10:00:00;ChatMessHors;0;0;0;0;0;10160;0;0;0;0;0;0;0;0;10;53;20230101;Autre
01/01/2023;10:30:00;ChatMessHors;0;0;0;0;0;10800;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;11:00:00;ChatMessHors;0;0;0;0;0;14384;0;0;0;0;0;0;0;0;3;1;20230101;Autre
01/01/2023;11:30:00;ChatMessHors;0;0;0;0;0;20042;0;0;0;0;0;0;0;0;0;194;20230101;Autre
01/01/2023;12:00:00;ChatMessHors;0;0;0;0;0;21595;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;12:30:00;ChatMessHors;0;0;0;0;0;23394;0;0;0;0;0;0;0;0;3;32;20230101;Autre
01/01/2023;13:00:00;ChatMessHors;0;0;0;0;0;16369;0;0;0;0;0;0;0;0;0;4;20230101;Autre
01/01/2023;13:30:00;ChatMessHors;0;0;0;0;0;16483;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;14:00:00;ChatMessHors;0;0;0;0;0;19890;0;0;0;0;0;0;0;0;3;73;20230101;Autre
01/01/2023;17:30:00;ChatMessHors;0;0;0;0;0;19890;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;18:00:00;ChatMessHors;0;0;0;0;0;14510;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;18:30:00;ChatMessHors;0;0;0;0;0;12169;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;19:00:00;ChatMessHors;0;0;0;0;0;10831;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;19:30:00;ChatMessHors;0;0;0;0;0;12600;0;0;0;0;0;0;0;0;0;1508;20230101;Autre
01/01/2023;20:00:00;ChatMessHors;0;0;0;0;0;5644;0;0;0;0;0;0;0;0;0;13;20230101;Autre
01/01/2023;20:30:00;ChatMessHors;0;0;0;0;0;5400;0;0;0;0;0;0;0;0;0;0;20230101;Autre
01/01/2023;21:00:00;ChatMessHors;0;0;0;0;0;3153;0;0;0;0;0;0;0;0;0;2;20230101;Autre
01/01/2023;21:30:00;ChatMessHors;0;0;0;0;0;1800;0;0;0;0;0;0;0;0;0;0;20230101;Autre
