LibMois;Datation;CUID;THEME;Libelle_Conclusion;NbCas;NbScript;TauxScript;Date_Format_1
Mai;02/05/2023 00:00;BFZB0074;05 Assistance technique / SAV;Transfert niveau sup��r;1;1;1.0;20230502
Mai;02/05/2023 00:00;BSBC9843;05 Assistance technique / SAV;Transfert vers l'assurance;1;;;20230502
Mai;02/05/2023 00:00;BSBC9843;05 Assistance technique / SAV;Transfert vers le Front Commercial;1;;;20230502
Mai;02/05/2023 00:00;BWDG1940;05 Assistance technique / SAV;Transfert Assistance Technique;3;;;20230502
Mai;02/05/2023 00:00;CDCJ3291;05 Assistance technique / SAV;Transfert Assistance Technique;1;;;20230502
Mai;02/05/2023 00:00;CFCG0247;05 Assistance technique / SAV;Transfert Assistance Technique;1;;;20230502
Mai;02/05/2023 00:00;CFHB9103;05 Assistance technique / SAV;R��orienta;1;1;1.0;20230502
Mai;02/05/2023 00:00;CFHB9103;05 Assistance technique / SAV;Transfert vers l'AT Home;3;3;1.0;20230502
Mai;02/05/2023 00:00;CFWS2241;05 Assistance technique / SAV;Transfert vers l'AT Home;2;;;20230502
Mai;02/05/2023 00:00;CGTN4125;05 Assistance technique / SAV;Transfert Assistance Technique;5;;;20230502
Mai;02/05/2023 00:00;CGWT1863;05 Assistance technique / SAV;Transfert Assistance Technique;1;;;20230502
Mai;02/05/2023 00:00;CRHD3354;05 Assistance technique / SAV;Transfert Assistance Technique;1;;;20230502
Mai;02/05/2023 00:00;CTNJ2596;05 Assistance technique / SAV;Renvoi vers sosh.fr;1;;;20230502
Mai;02/05/2023 00:00;CTNJ2596;05 Assistance technique / SAV;Transfert Assistance Technique;3;;;20230502
Mai;02/05/2023 00:00;CWQT1221;05 Assistance technique / SAV;Coupure de communication;1;;;20230502
Mai;02/05/2023 00:00;CWQT1221;05 Assistance technique / SAV;Info donn��e au Front Commer;4;;;20230502
Mai;02/05/2023 00:00;CWQT1221;05 Assistance technique / SAV;R��ponse apport��e - cas sol;1;;;20230502
Mai;02/05/2023 00:00;CWQT1221;05 Assistance technique / SAV;Transfert vers le Front Commercial;3;;;20230502
Mai;02/05/2023 00:00;DBHH4388;05 Assistance technique / SAV;R��ponse apport��e - cas sol;2;2;1.0;20230502
Mai;02/05/2023 00:00;DBHH4388;05 Assistance technique / SAV;Transfert vers expert internet;3;3;1.0;20230502
Mai;02/05/2023 00:00;DBHH4388;05 Assistance technique / SAV;Transfert vers le Front Commercial;6;1;0.1666666666666666;20230502
Mai;02/05/2023 00:00;DCVG1772;05 Assistance technique / SAV;Coupure de communication;2;;;20230502
