Datation;CUID;NbreAppelTraite;NbreTransfertsAccompAveug;Flux;Sous_Flux;Lib_Equipe;FluxArrivee;Univers;Offre;MetierTraitant;exploitables;Reit1J;Reit7J;Appels_1min;Date_Format_1
16/01/2023;CFBS0835;1;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;1;0;0;0;20230116
16/01/2023;CFBS0835;1;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;1;0;0;0;20230116
16/01/2023;CFCG0247;4;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;4;1;2;0;20230116
16/01/2023;CFDG5069;4;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;4;0;1;0;20230116
16/01/2023;CFWS2241;2;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;2;0;0;0;20230116
16/01/2023;CTNJ2596;4;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;4;0;0;1;20230116
16/01/2023;CTNJ2596;3;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;3;0;0;0;20230116
16/01/2023;CYCF7423;7;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;7;0;2;0;20230116
16/01/2023;CYCF7423;1;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;1;0;0;0;20230116
17/01/2023;CFBS0835;6;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;6;1;1;1;20230117
17/01/2023;CFBS0835;5;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;5;0;0;0;20230117
17/01/2023;CFCG0247;7;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;7;1;2;0;20230117
17/01/2023;CFCG0247;6;1;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;6;0;0;0;20230117
17/01/2023;CFWS2241;16;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;16;2;3;0;20230117
17/01/2023;CFWS2241;4;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;4;1;1;0;20230117
17/01/2023;CRHD3354;6;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;6;0;0;0;20230117
17/01/2023;CRHD3354;5;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;5;1;2;0;20230117
17/01/2023;CTNJ2596;8;1;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;8;0;1;0;20230117
17/01/2023;CTNJ2596;3;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;3;0;0;0;20230117
17/01/2023;CVXJ5233;11;1;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;11;0;1;1;20230117
17/01/2023;CVXJ5233;1;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;1;0;0;0;20230117
17/01/2023;CWQT1221;9;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;9;5;6;2;20230117
17/01/2023;CWQT1221;4;0;DART;Mobile;EQU COMDATA MA DART;3900;Mobile;NC;File Clients Assistance commerciale;4;0;0;0;20230117
17/01/2023;DBFF6562;5;0;DART;Convergent;EQU COMDATA MA DART;3900;Convergents;NC;File Clients Assistance commerciale;5;1;1;1;20230117
