Lib_Equipe;Datation;CUID;Offre;Tendance;TypeActivite;exploitables;Appels_1min;Reit1h;Reit1J;Reit7J;Flux;Sous_Flux;Date_Format_1
EQU KONECTA MA N1 AC OPEN;01/07/2023;BFZB0074;NC;CONVERGENT;NC;4;1;1;1;2;Open;Premium;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BFZB0074;ORANGE;FORFAITS;Inter Univers Home;1;1;;;;Open;Mobile;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BFZB0074;ORANGE;FORFAITS;NC;6;;;;1;Open;Mobile;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BFZB0074;ORANGE OPEN;CONVERGENT;NC;8;;;;1;Open;ADSL;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BFZB0074;ORANGE OPEN FIBRE;CONVERGENT;NC;16;;;;1;Open;Fibre;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BWDG1940;NC;CONVERGENT;NC;4;;;1;1;Open;Premium;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BWDG1940;ORANGE;FORFAITS;NC;5;;;;;Open;Mobile;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BWDG1940;ORANGE OPEN;CONVERGENT;NC;6;;;2;3;Open;ADSL;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;BWDG1940;ORANGE OPEN FIBRE;CONVERGENT;NC;12;1;;;;Open;Fibre;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CDBK8808;NC;CONVERGENT;NC;1;;;;;Open;Premium;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CDBK8808;ORANGE;FORFAITS;NC;2;;;;;Open;Mobile;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CDBK8808;ORANGE OPEN;CONVERGENT;NC;2;;;;;Open;ADSL;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CDBK8808;ORANGE OPEN FIBRE;CONVERGENT;NC;12;1;;1;2;Open;Fibre;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CJVW2804;NC;CONVERGENT;NC;5;;;;1;Open;Premium;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CJVW2804;ORANGE;FORFAITS;Inter Univers Home;2;;;;;Open;Mobile;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CJVW2804;ORANGE;FORFAITS;NC;7;;;1;3;Open;Mobile;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CJVW2804;ORANGE OPEN;CONVERGENT;NC;9;;;;;Open;ADSL;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CJVW2804;ORANGE OPEN FIBRE;CONVERGENT;NC;11;;;1;4;Open;Fibre;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CNHW0230;NC;CONVERGENT;NC;1;;;;;Open;Premium;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CNHW0230;ORANGE;FORFAITS;NC;7;;;;;Open;Mobile;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CNHW0230;ORANGE OPEN;CONVERGENT;NC;4;1;;;;Open;ADSL;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CNHW0230;ORANGE OPEN FIBRE;CONVERGENT;NC;10;;;;1;Open;Fibre;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CRJM4333;NC;CONVERGENT;NC;2;;;;;Open;Premium;20230701
EQU KONECTA MA N1 AC OPEN;01/07/2023;CRJM4333;ORANGE;FORFAITS;NC;9;;;;;Open;Mobile;20230701
