Date_Format_1;Appels_traites;Capacitaire;Chorus;Commande;Courts;DUREE;Den_Satisfaction_Decouverte;Duree_dispo_CC;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_retrait_formation;Duree_retrait_management;Duree_retrait_pause;Etoile_1;Etoile_2;Etoile_3;Etoile_4;Etoile_5;H_ABS_ABS;H_PLA_ABS;H_REA_ABS;Hagrid;Happy;NbCas;NbScript;NbreAppelTraite;NbreTransfertsAccompAveug;Nbre_Tracage_ND;Presentes;Prevision;Reit1J;Reit1h;Reit7J;Reit7J_7;Satisfaction_Decouverte;Traites;exploitables;exploitables_7;exploitables_Tracage;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230101,0;0,0;0,0;0,0;0,0;0,0;0,0;40,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;1,0;3,0;12,0;29,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;0,0;0,0;0,0;0,0;01/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230102,0;4514,0;5563,441339;4,0;5642,0;25,0;712080,0;124,0;1200342,5809;3161777,499;5021669,0831;208,0;134639,0;375432,0;10,0;7,0;4,0;21,0;97,0;322,3326;2358,0;2035,6674;16,0;87,0;0,0;0,0;4502,0;246,0;0,0;4794,0;6268,888888888889;394,0;169,0;888,0;888,0;72,0;4499,0;4312,0;4312,0;4312,0;02/01/2023;Lundi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230103,0;3940,0;5456,28035;4,0;4902,0;16,0;446640,0;62,0;913141,818;2872008,6923;4501032,5065;14576,0;257707,0;315747,0;5,0;2,0;5,0;11,0;49,0;281,5161;2088,0;1806,4839;5,0;55,0;0,0;0,0;3920,0;193,0;0,0;4221,0;5446,666666666667;350,0;169,0;799,0;799,0;26,0;3926,0;3742,0;3742,0;3742,0;03/01/2023;Mardi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230104,0;4793,0;5747,363412;3,0;5036,0;24,0;626520,0;78,0;731917,9716;3312092,3161;4760295,6814;41824,0;187937,0;330925,0;1,0;1,0;4,0;9,0;74,0;234,8163;2201,0;1966,1837;6,0;45,0;0,0;0,0;4774,0;267,0;0,0;4971,0;5595,555555555556;439,0;203,0;961,0;961,0;43,0;4779,0;4562,0;4562,0;4562,0;04/01/2023;Mercredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230105,0;4554,0;5033,339178;3,0;4576,0;24,0;412680,0;102,0;541494,3213;3218441,783;4348917,1032;1244,0;106985,0;318285,0;8,0;4,0;4,0;16,0;84,0;215,2996;2015,5;1800,2004;8,0;58,0;0,0;0,0;4543,0;270,0;0,0;4641,0;5084,444444444445;405,0;190,0;958,0;958,0;53,0;4538,0;4393,0;4393,0;4393,0;05/01/2023;Jeudi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230106,0;4397,0;4961,605128;6,0;4632,0;22,0;357420,0;82,0;770176,2213;3071178,7647;4501825,9856;52076,0;125435,0;327459,0;6,0;2,0;2,0;8,0;71,0;197,1166;2012,0;1814,8834;8,0;60,0;0,0;0,0;4383,0;217,0;0,0;4504,0;5146,666666666667;335,0;162,0;861,0;861,0;52,0;4383,0;4245,0;4245,0;4245,0;06/01/2023;Vendredi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230107,0;3046,0;3127,077973;2,0;2886,0;20,0;223620,0;107,0;814025,8575;2087833,8522;3307267,7038;6,0;53262,0;249348,0;7,0;2,0;5,0;19,0;82,0;113,883;1085,5;971,617;3,0;28,0;0,0;0,0;3027,0;162,0;0,0;3123,0;3206,666666666667;182,0;121,0;609,0;609,0;69,0;3032,0;2913,0;2913,0;2913,0;07/01/2023;Samedi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230108,0;0,0;0,0;0,0;0,0;0,0;0,0;57,0;4715,0271999999995;595,5818;5622,200000000001;0,0;0,0;0,0;0,0;2,0;7,0;11,0;46,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,0;0,0;0,0;0,0;0,0;08/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230109,0;5561,0;6053,56057;4,0;4790,0;35,0;1411080,0;149,0;1030650,9485;3897132,0105;5718748,5932;3539,0;133713,0;429423,0;11,0;6,0;7,0;21,0;113,0;220,367;2442,0;2221,633;16,0;82,0;0,0;0,0;5550,0;321,0;0,0;5709,0;5322,222222222223;523,0;246,0;1123,0;1123,0;88,0;5537,0;5351,0;5351,0;5351,0;09/01/2023;Lundi;Janvier;S02;2023;2023-Sem02;2023 - T1
20230110,0;4951,0;5894,491564;7,0;4250,0;40,0;1087440,0;68,0;994840,1485;3440232,9386;5188508,8814;28037,0;145259,0;368577,0;5,0;1,0;0,0;14,0;58,0;222,6997;2208,0;1985,3003;12,0;82,0;0,0;0,0;4928,0;236,0;0,0;5082,0;4722,222222222223;447,0;229,0;982,0;982,0;38,0;4931,0;4773,0;4773,0;4773,0;10/01/2023;Mardi;Janvier;S02;2023;2023-Sem02;2023 - T1
