Date_Format_1;Flux;Sous_Flux;Abandons;Appels_abandon_sur_sonnerie;Appels_courts;Appels_mis_en_attente;Appels_rotation_sur_sonnerie;Appels_traites;Capacitaire;Commande;Courts;DAbd;DR;Dissuades;Duree_THC;Duree_conversation_appels_entrants;Duree_dispo_CC;Duree_garde_appels_entrants;Duree_log_face_au_client;Duree_log_face_au_client_hors_attente;Duree_log_total;Duree_pas_libre;Duree_pause_entre_appels;Duree_traitement;Duree_wrapup;Presentes;Presentes_ELI;Prevision;Traites;Traites_ELI;Datation;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
20230101;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;01/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230101;DART;Mobile;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;01/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230101;Open;ADSL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;01/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230101;Open;Fibre;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;01/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230101;Open;Mobile;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;01/01/2023;Dimanche;Janvier;S01;2023;2023-Sem01;2023 - T1
20230102;DART;Convergent;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;02/01/2023;Lundi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230102;DART;Convergents;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;02/01/2023;Lundi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230102;DART;Mobile;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1869,725;2821,0;19884,5333;0,0;38257,7023;18373,169;51783,4998;1954,5916;72,8666;4775,5916;12,0;0,0;0,0;0,0;0,0;0,0;02/01/2023;Lundi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230102;Open;ADSL;73,0;0,0;0,0;0,0;0,0;0,0;0,0;2658,0;13,0;476,0;12447,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1749,0;265,0;2953,3333333333335;1652,0;247,0;02/01/2023;Lundi;Janvier;S01;2023;2023-Sem01;2023 - T1
20230102;Open;Fibre;105,0;0,0;0,0;0,0;0,0;0,0;0,0;2191,0;10,0;1660,0;4517,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1870,0;0,0;2434,4444444444443;1745,0;0,0;02/01/2023;Lundi;Janvier;S01;2023;2023-Sem01;2023 - T1
