Datation;Date_Format_1;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
07/07/2022;20220707;Jeudi;Juillet;S27;2022;2022-Sem27;2022 - T3
08/07/2022;20220708;Vendredi;Juillet;S27;2022;2022-Sem27;2022 - T3
09/07/2022;20220709;Samedi;Juillet;S27;2022;2022-Sem27;2022 - T3
10/07/2022;20220710;Dimanche;Juillet;S27;2022;2022-Sem27;2022 - T3
11/07/2022;20220711;Lundi;Juillet;S28;2022;2022-Sem28;2022 - T3
12/07/2022;20220712;Mardi;Juillet;S28;2022;2022-Sem28;2022 - T3
13/07/2022;20220713;Mercredi;Juillet;S28;2022;2022-Sem28;2022 - T3
14/07/2022;20220714;Jeudi;Juillet;S28;2022;2022-Sem28;2022 - T3
15/07/2022;20220715;Vendredi;Juillet;S28;2022;2022-Sem28;2022 - T3
16/07/2022;20220716;Samedi;Juillet;S28;2022;2022-Sem28;2022 - T3
17/07/2022;20220717;Dimanche;Juillet;S28;2022;2022-Sem28;2022 - T3
18/07/2022;20220718;Lundi;Juillet;S29;2022;2022-Sem29;2022 - T3
19/07/2022;20220719;Mardi;Juillet;S29;2022;2022-Sem29;2022 - T3
20/07/2022;20220720;Mercredi;Juillet;S29;2022;2022-Sem29;2022 - T3
21/07/2022;20220721;Jeudi;Juillet;S29;2022;2022-Sem29;2022 - T3
22/07/2022;20220722;Vendredi;Juillet;S29;2022;2022-Sem29;2022 - T3
23/07/2022;20220723;Samedi;Juillet;S29;2022;2022-Sem29;2022 - T3
24/07/2022;20220724;Dimanche;Juillet;S29;2022;2022-Sem29;2022 - T3
25/07/2022;20220725;Lundi;Juillet;S30;2022;2022-Sem30;2022 - T3
26/07/2022;20220726;Mardi;Juillet;S30;2022;2022-Sem30;2022 - T3
27/07/2022;20220727;Mercredi;Juillet;S30;2022;2022-Sem30;2022 - T3
28/07/2022;20220728;Jeudi;Juillet;S30;2022;2022-Sem30;2022 - T3
29/07/2022;20220729;Vendredi;Juillet;S30;2022;2022-Sem30;2022 - T3
30/07/2022;20220730;Samedi;Juillet;S30;2022;2022-Sem30;2022 - T3
31/07/2022;20220731;Dimanche;Juillet;S30;2022;2022-Sem30;2022 - T3
01/08/2022;20220801;Lundi;Août;S31;2022;2022-Sem31;2022 - T3
02/08/2022;20220802;Mardi;Août;S31;2022;2022-Sem31;2022 - T3
03/08/2022;20220803;Mercredi;Août;S31;2022;2022-Sem31;2022 - T3
04/08/2022;20220804;Jeudi;Août;S31;2022;2022-Sem31;2022 - T3
05/08/2022;20220805;Vendredi;Août;S31;2022;2022-Sem31;2022 - T3
06/08/2022;20220806;Samedi;Août;S31;2022;2022-Sem31;2022 - T3
07/08/2022;20220807;Dimanche;Août;S31;2022;2022-Sem31;2022 - T3
08/08/2022;20220808;Lundi;Août;S32;2022;2022-Sem32;2022 - T3
09/08/2022;20220809;Mardi;Août;S32;2022;2022-Sem32;2022 - T3
10/08/2022;20220810;Mercredi;Août;S32;2022;2022-Sem32;2022 - T3
11/08/2022;20220811;Jeudi;Août;S32;2022;2022-Sem32;2022 - T3
12/08/2022;20220812;Vendredi;Août;S32;2022;2022-Sem32;2022 - T3
13/08/2022;20220813;Samedi;Août;S32;2022;2022-Sem32;2022 - T3
14/08/2022;20220814;Dimanche;Août;S32;2022;2022-Sem32;2022 - T3
15/08/2022;20220815;Lundi;Août;S33;2022;2022-Sem33;2022 - T3
16/08/2022;20220816;Mardi;Août;S33;2022;2022-Sem33;2022 - T3
17/08/2022;20220817;Mercredi;Août;S33;2022;2022-Sem33;2022 - T3
18/08/2022;20220818;Jeudi;Août;S33;2022;2022-Sem33;2022 - T3
19/08/2022;20220819;Vendredi;Août;S33;2022;2022-Sem33;2022 - T3
20/08/2022;20220820;Samedi;Août;S33;2022;2022-Sem33;2022 - T3
21/08/2022;20220821;Dimanche;Août;S33;2022;2022-Sem33;2022 - T3
01/01/2022;20220101;Samedi;Janvier;S01;2022;2022-Sem01;2022 - T1
02/01/2022;20220102;Dimanche;Janvier;S01;2022;2022-Sem01;2022 - T1
03/01/2022;20220103;Lundi;Janvier;S01;2022;2022-Sem01;2022 - T1
04/01/2022;20220104;Mardi;Janvier;S01;2022;2022-Sem01;2022 - T1
05/01/2022;20220105;Mercredi;Janvier;S01;2022;2022-Sem01;2022 - T1
06/01/2022;20220106;Jeudi;Janvier;S01;2022;2022-Sem01;2022 - T1
07/01/2022;20220107;Vendredi;Janvier;S01;2022;2022-Sem01;2022 - T1
08/01/2022;20220108;Samedi;Janvier;S01;2022;2022-Sem01;2022 - T1
09/01/2022;20220109;Dimanche;Janvier;S01;2022;2022-Sem01;2022 - T1
10/01/2022;20220110;Lundi;Janvier;S02;2022;2022-Sem02;2022 - T1
11/01/2022;20220111;Mardi;Janvier;S02;2022;2022-Sem02;2022 - T1
12/01/2022;20220112;Mercredi;Janvier;S02;2022;2022-Sem02;2022 - T1
13/01/2022;20220113;Jeudi;Janvier;S02;2022;2022-Sem02;2022 - T1
14/01/2022;20220114;Vendredi;Janvier;S02;2022;2022-Sem02;2022 - T1
15/01/2022;20220115;Samedi;Janvier;S02;2022;2022-Sem02;2022 - T1
16/01/2022;20220116;Dimanche;Janvier;S02;2022;2022-Sem02;2022 - T1
17/01/2022;20220117;Lundi;Janvier;S03;2022;2022-Sem03;2022 - T1
18/01/2022;20220118;Mardi;Janvier;S03;2022;2022-Sem03;2022 - T1
19/01/2022;20220119;Mercredi;Janvier;S03;2022;2022-Sem03;2022 - T1
20/01/2022;20220120;Jeudi;Janvier;S03;2022;2022-Sem03;2022 - T1
21/01/2022;20220121;Vendredi;Janvier;S03;2022;2022-Sem03;2022 - T1
22/01/2022;20220122;Samedi;Janvier;S03;2022;2022-Sem03;2022 - T1
23/01/2022;20220123;Dimanche;Janvier;S03;2022;2022-Sem03;2022 - T1
24/01/2022;20220124;Lundi;Janvier;S04;2022;2022-Sem04;2022 - T1
25/01/2022;20220125;Mardi;Janvier;S04;2022;2022-Sem04;2022 - T1
26/01/2022;20220126;Mercredi;Janvier;S04;2022;2022-Sem04;2022 - T1
27/01/2022;20220127;Jeudi;Janvier;S04;2022;2022-Sem04;2022 - T1
28/01/2022;20220128;Vendredi;Janvier;S04;2022;2022-Sem04;2022 - T1
29/01/2022;20220129;Samedi;Janvier;S04;2022;2022-Sem04;2022 - T1
30/01/2022;20220130;Dimanche;Janvier;S04;2022;2022-Sem04;2022 - T1
31/01/2022;20220131;Lundi;Janvier;S05;2022;2022-Sem05;2022 - T1
01/02/2022;20220201;Mardi;Février;S05;2022;2022-Sem05;2022 - T1
02/02/2022;20220202;Mercredi;Février;S05;2022;2022-Sem05;2022 - T1
03/02/2022;20220203;Jeudi;Février;S05;2022;2022-Sem05;2022 - T1
04/02/2022;20220204;Vendredi;Février;S05;2022;2022-Sem05;2022 - T1
05/02/2022;20220205;Samedi;Février;S05;2022;2022-Sem05;2022 - T1
06/02/2022;20220206;Dimanche;Février;S05;2022;2022-Sem05;2022 - T1
07/02/2022;20220207;Lundi;Février;S06;2022;2022-Sem06;2022 - T1
08/02/2022;20220208;Mardi;Février;S06;2022;2022-Sem06;2022 - T1
09/02/2022;20220209;Mercredi;Février;S06;2022;2022-Sem06;2022 - T1
10/02/2022;20220210;Jeudi;Février;S06;2022;2022-Sem06;2022 - T1
11/02/2022;20220211;Vendredi;Février;S06;2022;2022-Sem06;2022 - T1
12/02/2022;20220212;Samedi;Février;S06;2022;2022-Sem06;2022 - T1
13/02/2022;20220213;Dimanche;Février;S06;2022;2022-Sem06;2022 - T1
14/02/2022;20220214;Lundi;Février;S07;2022;2022-Sem07;2022 - T1
15/02/2022;20220215;Mardi;Février;S07;2022;2022-Sem07;2022 - T1
16/02/2022;20220216;Mercredi;Février;S07;2022;2022-Sem07;2022 - T1
17/02/2022;20220217;Jeudi;Février;S07;2022;2022-Sem07;2022 - T1
18/02/2022;20220218;Vendredi;Février;S07;2022;2022-Sem07;2022 - T1
19/02/2022;20220219;Samedi;Février;S07;2022;2022-Sem07;2022 - T1
20/02/2022;20220220;Dimanche;Février;S07;2022;2022-Sem07;2022 - T1
21/02/2022;20220221;Lundi;Février;S08;2022;2022-Sem08;2022 - T1
22/02/2022;20220222;Mardi;Février;S08;2022;2022-Sem08;2022 - T1
23/02/2022;20220223;Mercredi;Février;S08;2022;2022-Sem08;2022 - T1
24/02/2022;20220224;Jeudi;Février;S08;2022;2022-Sem08;2022 - T1
25/02/2022;20220225;Vendredi;Février;S08;2022;2022-Sem08;2022 - T1
26/02/2022;20220226;Samedi;Février;S08;2022;2022-Sem08;2022 - T1
27/02/2022;20220227;Dimanche;Février;S08;2022;2022-Sem08;2022 - T1
28/02/2022;20220228;Lundi;Février;S09;2022;2022-Sem09;2022 - T1
01/03/2022;20220301;Mardi;Mars;S09;2022;2022-Sem09;2022 - T1
02/03/2022;20220302;Mercredi;Mars;S09;2022;2022-Sem09;2022 - T1
03/03/2022;20220303;Jeudi;Mars;S09;2022;2022-Sem09;2022 - T1
04/03/2022;20220304;Vendredi;Mars;S09;2022;2022-Sem09;2022 - T1
05/03/2022;20220305;Samedi;Mars;S09;2022;2022-Sem09;2022 - T1
06/03/2022;20220306;Dimanche;Mars;S09;2022;2022-Sem09;2022 - T1
07/03/2022;20220307;Lundi;Mars;S10;2022;2022-Sem10;2022 - T1
08/03/2022;20220308;Mardi;Mars;S10;2022;2022-Sem10;2022 - T1
09/03/2022;20220309;Mercredi;Mars;S10;2022;2022-Sem10;2022 - T1
10/03/2022;20220310;Jeudi;Mars;S10;2022;2022-Sem10;2022 - T1
11/03/2022;20220311;Vendredi;Mars;S10;2022;2022-Sem10;2022 - T1
12/03/2022;20220312;Samedi;Mars;S10;2022;2022-Sem10;2022 - T1
13/03/2022;20220313;Dimanche;Mars;S10;2022;2022-Sem10;2022 - T1
14/03/2022;20220314;Lundi;Mars;S11;2022;2022-Sem11;2022 - T1
15/03/2022;20220315;Mardi;Mars;S11;2022;2022-Sem11;2022 - T1
16/03/2022;20220316;Mercredi;Mars;S11;2022;2022-Sem11;2022 - T1
17/03/2022;20220317;Jeudi;Mars;S11;2022;2022-Sem11;2022 - T1
18/03/2022;20220318;Vendredi;Mars;S11;2022;2022-Sem11;2022 - T1
19/03/2022;20220319;Samedi;Mars;S11;2022;2022-Sem11;2022 - T1
20/03/2022;20220320;Dimanche;Mars;S11;2022;2022-Sem11;2022 - T1
21/03/2022;20220321;Lundi;Mars;S12;2022;2022-Sem12;2022 - T1
22/03/2022;20220322;Mardi;Mars;S12;2022;2022-Sem12;2022 - T1
23/03/2022;20220323;Mercredi;Mars;S12;2022;2022-Sem12;2022 - T1
24/03/2022;20220324;Jeudi;Mars;S12;2022;2022-Sem12;2022 - T1
25/03/2022;20220325;Vendredi;Mars;S12;2022;2022-Sem12;2022 - T1
26/03/2022;20220326;Samedi;Mars;S12;2022;2022-Sem12;2022 - T1
27/03/2022;20220327;Dimanche;Mars;S12;2022;2022-Sem12;2022 - T1
28/03/2022;20220328;Lundi;Mars;S13;2022;2022-Sem13;2022 - T1
29/03/2022;20220329;Mardi;Mars;S13;2022;2022-Sem13;2022 - T1
30/03/2022;20220330;Mercredi;Mars;S13;2022;2022-Sem13;2022 - T1
31/03/2022;20220331;Jeudi;Mars;S13;2022;2022-Sem13;2022 - T1
01/04/2022;20220401;Vendredi;Avril;S13;2022;2022-Sem13;2022 - T2
02/04/2022;20220402;Samedi;Avril;S13;2022;2022-Sem13;2022 - T2
03/04/2022;20220403;Dimanche;Avril;S13;2022;2022-Sem13;2022 - T2
04/04/2022;20220404;Lundi;Avril;S14;2022;2022-Sem14;2022 - T2
05/04/2022;20220405;Mardi;Avril;S14;2022;2022-Sem14;2022 - T2
06/04/2022;20220406;Mercredi;Avril;S14;2022;2022-Sem14;2022 - T2
07/04/2022;20220407;Jeudi;Avril;S14;2022;2022-Sem14;2022 - T2
08/04/2022;20220408;Vendredi;Avril;S14;2022;2022-Sem14;2022 - T2
09/04/2022;20220409;Samedi;Avril;S14;2022;2022-Sem14;2022 - T2
10/04/2022;20220410;Dimanche;Avril;S14;2022;2022-Sem14;2022 - T2
11/04/2022;20220411;Lundi;Avril;S15;2022;2022-Sem15;2022 - T2
12/04/2022;20220412;Mardi;Avril;S15;2022;2022-Sem15;2022 - T2
13/04/2022;20220413;Mercredi;Avril;S15;2022;2022-Sem15;2022 - T2
14/04/2022;20220414;Jeudi;Avril;S15;2022;2022-Sem15;2022 - T2
15/04/2022;20220415;Vendredi;Avril;S15;2022;2022-Sem15;2022 - T2
16/04/2022;20220416;Samedi;Avril;S15;2022;2022-Sem15;2022 - T2
17/04/2022;20220417;Dimanche;Avril;S15;2022;2022-Sem15;2022 - T2
18/04/2022;20220418;Lundi;Avril;S16;2022;2022-Sem16;2022 - T2
19/04/2022;20220419;Mardi;Avril;S16;2022;2022-Sem16;2022 - T2
20/04/2022;20220420;Mercredi;Avril;S16;2022;2022-Sem16;2022 - T2
21/04/2022;20220421;Jeudi;Avril;S16;2022;2022-Sem16;2022 - T2
22/04/2022;20220422;Vendredi;Avril;S16;2022;2022-Sem16;2022 - T2
23/04/2022;20220423;Samedi;Avril;S16;2022;2022-Sem16;2022 - T2
24/04/2022;20220424;Dimanche;Avril;S16;2022;2022-Sem16;2022 - T2
25/04/2022;20220425;Lundi;Avril;S17;2022;2022-Sem17;2022 - T2
26/04/2022;20220426;Mardi;Avril;S17;2022;2022-Sem17;2022 - T2
27/04/2022;20220427;Mercredi;Avril;S17;2022;2022-Sem17;2022 - T2
28/04/2022;20220428;Jeudi;Avril;S17;2022;2022-Sem17;2022 - T2
29/04/2022;20220429;Vendredi;Avril;S17;2022;2022-Sem17;2022 - T2
30/04/2022;20220430;Samedi;Avril;S17;2022;2022-Sem17;2022 - T2
01/05/2022;20220501;Dimanche;Mai;S17;2022;2022-Sem17;2022 - T2
02/05/2022;20220502;Lundi;Mai;S18;2022;2022-Sem18;2022 - T2
03/05/2022;20220503;Mardi;Mai;S18;2022;2022-Sem18;2022 - T2
04/05/2022;20220504;Mercredi;Mai;S18;2022;2022-Sem18;2022 - T2
05/05/2022;20220505;Jeudi;Mai;S18;2022;2022-Sem18;2022 - T2
06/05/2022;20220506;Vendredi;Mai;S18;2022;2022-Sem18;2022 - T2
07/05/2022;20220507;Samedi;Mai;S18;2022;2022-Sem18;2022 - T2
08/05/2022;20220508;Dimanche;Mai;S18;2022;2022-Sem18;2022 - T2
09/05/2022;20220509;Lundi;Mai;S19;2022;2022-Sem19;2022 - T2
10/05/2022;20220510;Mardi;Mai;S19;2022;2022-Sem19;2022 - T2
11/05/2022;20220511;Mercredi;Mai;S19;2022;2022-Sem19;2022 - T2
12/05/2022;20220512;Jeudi;Mai;S19;2022;2022-Sem19;2022 - T2
13/05/2022;20220513;Vendredi;Mai;S19;2022;2022-Sem19;2022 - T2
14/05/2022;20220514;Samedi;Mai;S19;2022;2022-Sem19;2022 - T2
15/05/2022;20220515;Dimanche;Mai;S19;2022;2022-Sem19;2022 - T2
16/05/2022;20220516;Lundi;Mai;S20;2022;2022-Sem20;2022 - T2
17/05/2022;20220517;Mardi;Mai;S20;2022;2022-Sem20;2022 - T2
18/05/2022;20220518;Mercredi;Mai;S20;2022;2022-Sem20;2022 - T2
19/05/2022;20220519;Jeudi;Mai;S20;2022;2022-Sem20;2022 - T2
20/05/2022;20220520;Vendredi;Mai;S20;2022;2022-Sem20;2022 - T2
21/05/2022;20220521;Samedi;Mai;S20;2022;2022-Sem20;2022 - T2
22/05/2022;20220522;Dimanche;Mai;S20;2022;2022-Sem20;2022 - T2
23/05/2022;20220523;Lundi;Mai;S21;2022;2022-Sem21;2022 - T2
24/05/2022;20220524;Mardi;Mai;S21;2022;2022-Sem21;2022 - T2
25/05/2022;20220525;Mercredi;Mai;S21;2022;2022-Sem21;2022 - T2
26/05/2022;20220526;Jeudi;Mai;S21;2022;2022-Sem21;2022 - T2
27/05/2022;20220527;Vendredi;Mai;S21;2022;2022-Sem21;2022 - T2
28/05/2022;20220528;Samedi;Mai;S21;2022;2022-Sem21;2022 - T2
29/05/2022;20220529;Dimanche;Mai;S21;2022;2022-Sem21;2022 - T2
30/05/2022;20220530;Lundi;Mai;S22;2022;2022-Sem22;2022 - T2
31/05/2022;20220531;Mardi;Mai;S22;2022;2022-Sem22;2022 - T2
01/06/2022;20220601;Mercredi;Juin;S22;2022;2022-Sem22;2022 - T2
02/06/2022;20220602;Jeudi;Juin;S22;2022;2022-Sem22;2022 - T2
03/06/2022;20220603;Vendredi;Juin;S22;2022;2022-Sem22;2022 - T2
04/06/2022;20220604;Samedi;Juin;S22;2022;2022-Sem22;2022 - T2
05/06/2022;20220605;Dimanche;Juin;S22;2022;2022-Sem22;2022 - T2
06/06/2022;20220606;Lundi;Juin;S23;2022;2022-Sem23;2022 - T2
07/06/2022;20220607;Mardi;Juin;S23;2022;2022-Sem23;2022 - T2
08/06/2022;20220608;Mercredi;Juin;S23;2022;2022-Sem23;2022 - T2
09/06/2022;20220609;Jeudi;Juin;S23;2022;2022-Sem23;2022 - T2
10/06/2022;20220610;Vendredi;Juin;S23;2022;2022-Sem23;2022 - T2
11/06/2022;20220611;Samedi;Juin;S23;2022;2022-Sem23;2022 - T2
12/06/2022;20220612;Dimanche;Juin;S23;2022;2022-Sem23;2022 - T2
13/06/2022;20220613;Lundi;Juin;S24;2022;2022-Sem24;2022 - T2
14/06/2022;20220614;Mardi;Juin;S24;2022;2022-Sem24;2022 - T2
15/06/2022;20220615;Mercredi;Juin;S24;2022;2022-Sem24;2022 - T2
16/06/2022;20220616;Jeudi;Juin;S24;2022;2022-Sem24;2022 - T2
17/06/2022;20220617;Vendredi;Juin;S24;2022;2022-Sem24;2022 - T2
18/06/2022;20220618;Samedi;Juin;S24;2022;2022-Sem24;2022 - T2
19/06/2022;20220619;Dimanche;Juin;S24;2022;2022-Sem24;2022 - T2
20/06/2022;20220620;Lundi;Juin;S25;2022;2022-Sem25;2022 - T2
21/06/2022;20220621;Mardi;Juin;S25;2022;2022-Sem25;2022 - T2
22/06/2022;20220622;Mercredi;Juin;S25;2022;2022-Sem25;2022 - T2
23/06/2022;20220623;Jeudi;Juin;S25;2022;2022-Sem25;2022 - T2
24/06/2022;20220624;Vendredi;Juin;S25;2022;2022-Sem25;2022 - T2
25/06/2022;20220625;Samedi;Juin;S25;2022;2022-Sem25;2022 - T2
26/06/2022;20220626;Dimanche;Juin;S25;2022;2022-Sem25;2022 - T2
27/06/2022;20220627;Lundi;Juin;S26;2022;2022-Sem26;2022 - T2
28/06/2022;20220628;Mardi;Juin;S26;2022;2022-Sem26;2022 - T2
29/06/2022;20220629;Mercredi;Juin;S26;2022;2022-Sem26;2022 - T2
30/06/2022;20220630;Jeudi;Juin;S26;2022;2022-Sem26;2022 - T2
01/07/2022;20220701;Vendredi;Juillet;S26;2022;2022-Sem26;2022 - T3
02/07/2022;20220702;Samedi;Juillet;S26;2022;2022-Sem26;2022 - T3
03/07/2022;20220703;Dimanche;Juillet;S26;2022;2022-Sem26;2022 - T3
04/07/2022;20220704;Lundi;Juillet;S27;2022;2022-Sem27;2022 - T3
05/07/2022;20220705;Mardi;Juillet;S27;2022;2022-Sem27;2022 - T3
06/07/2022;20220706;Mercredi;Juillet;S27;2022;2022-Sem27;2022 - T3
22/08/2022;20220822;Lundi;Août;S34;2022;2022-Sem34;2022 - T3
23/08/2022;20220823;Mardi;Août;S34;2022;2022-Sem34;2022 - T3
24/08/2022;20220824;Mercredi;Août;S34;2022;2022-Sem34;2022 - T3
25/08/2022;20220825;Jeudi;Août;S34;2022;2022-Sem34;2022 - T3
26/08/2022;20220826;Vendredi;Août;S34;2022;2022-Sem34;2022 - T3
27/08/2022;20220827;Samedi;Août;S34;2022;2022-Sem34;2022 - T3
28/08/2022;20220828;Dimanche;Août;S34;2022;2022-Sem34;2022 - T3
