Demiheure;MT
07:30:00;HMT
08:00:00;MT1
08:30:00;MT1
09:00:00;MT1
09:30:00;MT1
10:00:00;MT1
10:30:00;MT1
11:00:00;MT1
11:30:00;MT1
12:00:00;MT2
12:30:00;MT2
13:00:00;MT2
13:30:00;MT2
14:00:00;MT2
14:30:00;MT2
15:00:00;MT2
15:30:00;MT2
16:00:00;MT3
16:30:00;MT3
17:00:00;MT3
17:30:00;MT3
18:00:00;MT3
18:30:00;MT3
19:00:00;MT3
19:30:00;MT3
20:00:00;HMT
20:30:00;HMT
22:00:00;HMT
22:30:00;HMT
23:00:00;HMT
23:30:00;HMT
00:00:00;HMT
00:30:00;HMT
01:00:00;HMT
01:30:00;HMT
02:00:00;HMT
02:30:00;HMT
03:00:00;HMT
03:30:00;HMT
04:00:00;HMT
04:30:00;HMT
05:00:00;HMT
05:30:00;HMT
06:00:00;HMT
21:00:00;HMT
06:30:00;HMT
07:00:00;HMT
21:30:00;HMT
