Jour;Datation;Date_Format_1;Demiheure;Flux;Poids;Commande
Dimanche;01/01/2023;20230101;08:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;08:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;09:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;09:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;10:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;10:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;11:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;11:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;12:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;12:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;13:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;13:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;14:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;14:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;15:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;15:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;16:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;16:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;17:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;17:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;18:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;18:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;19:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;19:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;20:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;20:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;21:00:00;HLB;0%;0
Dimanche;01/01/2023;20230101;21:30:00;HLB;0%;0
Dimanche;01/01/2023;20230101;08:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;08:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;09:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;09:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;10:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;10:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;11:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;11:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;12:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;12:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;13:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;13:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;14:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;14:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;15:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;15:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;16:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;16:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;17:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;17:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;18:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;18:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;19:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;19:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;20:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;20:30:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;21:00:00;Help Desk;0%;0
Dimanche;01/01/2023;20230101;21:30:00;Help Desk;0%;0
Lundi;02/01/2023;20230102;08:00:00;HLB;0%;0,419756342
Lundi;02/01/2023;20230102;08:30:00;HLB;0%;0,679605506
Lundi;02/01/2023;20230102;09:00:00;HLB;1%;5,256948473
Lundi;02/01/2023;20230102;09:30:00;HLB;6%;21,04778229
Lundi;02/01/2023;20230102;10:00:00;HLB;7%;25,72506724
Lundi;02/01/2023;20230102;10:30:00;HLB;7%;24,72564738
Lundi;02/01/2023;20230102;11:00:00;HLB;7%;25,66510205
Lundi;02/01/2023;20230102;11:30:00;HLB;6%;22,78677285
Lundi;02/01/2023;20230102;12:00:00;HLB;4%;14,21175044
Lundi;02/01/2023;20230102;12:30:00;HLB;2%;8,874848373
Lundi;02/01/2023;20230102;13:00:00;HLB;3%;9,874268235
Lundi;02/01/2023;20230102;13:30:00;HLB;3%;12,95248141
Lundi;02/01/2023;20230102;14:00:00;HLB;7%;24,72564738
Lundi;02/01/2023;20230102;14:30:00;HLB;7%;26,32471916
Lundi;02/01/2023;20230102;15:00:00;HLB;7%;26,36469595
Lundi;02/01/2023;20230102;15:30:00;HLB;7%;24,96550815
Lundi;02/01/2023;20230102;16:00:00;HLB;6%;22,82674964
Lundi;02/01/2023;20230102;16:30:00;HLB;5%;20,54807236
Lundi;02/01/2023;20230102;17:00:00;HLB;5%;17,80966194
Lundi;02/01/2023;20230102;17:30:00;HLB;4%;16,49042772
Lundi;02/01/2023;20230102;18:00:00;HLB;3%;13,09240019
Lundi;02/01/2023;20230102;18:30:00;HLB;2%;8,215231264
Lundi;02/01/2023;20230102;19:00:00;HLB;1%;3,677865092
Lundi;02/01/2023;20230102;19:30:00;HLB;0%;1,419176204
Lundi;02/01/2023;20230102;20:00:00;HLB;0%;0,21987237
Lundi;02/01/2023;20230102;20:30:00;HLB;0%;0,099941986
Lundi;02/01/2023;20230102;21:00:00;HLB;0%;0
Lundi;02/01/2023;20230102;21:30:00;HLB;0%;0
Lundi;02/01/2023;20230102;08:00:00;Help Desk;0%;0,014397975
Lundi;02/01/2023;20230102;08:30:00;Help Desk;0%;0,023311007
Lundi;02/01/2023;20230102;09:00:00;Help Desk;1%;0,180317494
Lundi;02/01/2023;20230102;09:30:00;Help Desk;6%;0,721955593
Lundi;02/01/2023;20230102;10:00:00;Help Desk;7%;0,882390169
Lundi;02/01/2023;20230102;10:30:00;Help Desk;7%;0,848109277
Lundi;02/01/2023;20230102;11:00:00;Help Desk;7%;0,880333316
Lundi;02/01/2023;20230102;11:30:00;Help Desk;6%;0,781604346
Lundi;02/01/2023;20230102;12:00:00;Help Desk;4%;0,487474289
Lundi;02/01/2023;20230102;12:30:00;Help Desk;2%;0,304414324
Lundi;02/01/2023;20230102;13:00:00;Help Desk;3%;0,338695216
Lundi;02/01/2023;20230102;13:30:00;Help Desk;3%;0,444280365
Lundi;02/01/2023;20230102;14:00:00;Help Desk;7%;0,848109277
Lundi;02/01/2023;20230102;14:30:00;Help Desk;7%;0,902958705
Lundi;02/01/2023;20230102;15:00:00;Help Desk;7%;0,90432994
Lundi;02/01/2023;20230102;15:30:00;Help Desk;7%;0,856336691
Lundi;02/01/2023;20230102;16:00:00;Help Desk;6%;0,782975581
Lundi;02/01/2023;20230102;16:30:00;Help Desk;5%;0,704815147
Lundi;02/01/2023;20230102;17:00:00;Help Desk;5%;0,610885502
Lundi;02/01/2023;20230102;17:30:00;Help Desk;4%;0,565634724
Lundi;02/01/2023;20230102;18:00:00;Help Desk;3%;0,44907969
Lundi;02/01/2023;20230102;18:30:00;Help Desk;2%;0,281788935
Lundi;02/01/2023;20230102;19:00:00;Help Desk;1%;0,126153684
Lundi;02/01/2023;20230102;19:30:00;Help Desk;0%;0,048678867
Lundi;02/01/2023;20230102;20:00:00;Help Desk;0%;0,007541796
Lundi;02/01/2023;20230102;20:30:00;Help Desk;0%;0,003428089
Lundi;02/01/2023;20230102;21:00:00;Help Desk;0%;0
Lundi;02/01/2023;20230102;21:30:00;Help Desk;0%;0
Mardi;03/01/2023;20230103;08:00:00;HLB;0%;0,319391635
Mardi;03/01/2023;20230103;08:30:00;HLB;0%;0,555463713
Mardi;03/01/2023;20230103;09:00:00;HLB;1%;3,999338734
Mardi;03/01/2023;20230103;09:30:00;HLB;5%;17,83038519
Mardi;03/01/2023;20230103;10:00:00;HLB;9%;30,7726897
Mardi;03/01/2023;20230103;10:30:00;HLB;8%;26,74557778
Mardi;03/01/2023;20230103;11:00:00;HLB;7%;24,03769218
Mardi;03/01/2023;20230103;11:30:00;HLB;6%;20,95486857
Mardi;03/01/2023;20230103;12:00:00;HLB;4%;12,09522235
Mardi;03/01/2023;20230103;12:30:00;HLB;3%;8,484708216
Mardi;03/01/2023;20230103;13:00:00;HLB;2%;6,304513143
Mardi;03/01/2023;20230103;13:30:00;HLB;3%;9,19292445
Mardi;03/01/2023;20230103;14:00:00;HLB;7%;22,59348653
Mardi;03/01/2023;20230103;14:30:00;HLB;7%;22,30186808
Mardi;03/01/2023;20230103;15:00:00;HLB;6%;21,0937345
Mardi;03/01/2023;20230103;15:30:00;HLB;6%;21,07984791
Mardi;03/01/2023;20230103;16:00:00;HLB;6%;20,05224004
Mardi;03/01/2023;20230103;16:30:00;HLB;5%;17,802612
Mardi;03/01/2023;20230103;17:00:00;HLB;5%;15,56687056
Mardi;03/01/2023;20230103;17:30:00;HLB;4%;14,55314928
Mardi;03/01/2023;20230103;18:00:00;HLB;3%;10,28996528
Mardi;03/01/2023;20230103;18:30:00;HLB;2%;5,374111423
Mardi;03/01/2023;20230103;19:00:00;HLB;1%;2,596792858
Mardi;03/01/2023;20230103;19:30:00;HLB;0%;0,944288312
Mardi;03/01/2023;20230103;20:00:00;HLB;0%;0,347164821
Mardi;03/01/2023;20230103;20:30:00;HLB;0%;0,111092743
Mardi;03/01/2023;20230103;21:00:00;HLB;0%;0
Mardi;03/01/2023;20230103;21:30:00;HLB;0%;0
Mardi;03/01/2023;20230103;08:00:00;Help Desk;0%;0,010456274
Mardi;03/01/2023;20230103;08:30:00;Help Desk;0%;0,018184824
Mardi;03/01/2023;20230103;09:00:00;Help Desk;1%;0,130930732
Mardi;03/01/2023;20230103;09:30:00;Help Desk;5%;0,583732848
Mardi;03/01/2023;20230103;10:00:00;Help Desk;9%;1,007439246
Mardi;03/01/2023;20230103;10:30:00;Help Desk;8%;0,875599273
Mardi;03/01/2023;20230103;11:00:00;Help Desk;7%;0,786948256
Mardi;03/01/2023;20230103;11:30:00;Help Desk;6%;0,686022483
Mardi;03/01/2023;20230103;12:00:00;Help Desk;4%;0,395974541
Mardi;03/01/2023;20230103;12:30:00;Help Desk;3%;0,277773186
Mardi;03/01/2023;20230103;13:00:00;Help Desk;2%;0,206397752
Mardi;03/01/2023;20230103;13:30:00;Help Desk;3%;0,300958836
Mardi;03/01/2023;20230103;14:00:00;Help Desk;7%;0,739667714
Mardi;03/01/2023;20230103;14:30:00;Help Desk;7%;0,730120681
Mardi;03/01/2023;20230103;15:00:00;Help Desk;6%;0,690568689
Mardi;03/01/2023;20230103;15:30:00;Help Desk;6%;0,690114068
Mardi;03/01/2023;20230103;16:00:00;Help Desk;6%;0,656472144
Mardi;03/01/2023;20230103;16:30:00;Help Desk;5%;0,582823607
Mardi;03/01/2023;20230103;17:00:00;Help Desk;5%;0,509629691
Mardi;03/01/2023;20230103;17:30:00;Help Desk;4%;0,476442387
Mardi;03/01/2023;20230103;18:00:00;Help Desk;3%;0,336873863
Mardi;03/01/2023;20230103;18:30:00;Help Desk;2%;0,175938172
Mardi;03/01/2023;20230103;19:00:00;Help Desk;1%;0,085014052
Mardi;03/01/2023;20230103;19:30:00;Help Desk;0%;0,030914201
Mardi;03/01/2023;20230103;20:00:00;Help Desk;0%;0,011365515
Mardi;03/01/2023;20230103;20:30:00;Help Desk;0%;0,003636965
Mardi;03/01/2023;20230103;21:00:00;Help Desk;0%;0
Mardi;03/01/2023;20230103;21:30:00;Help Desk;0%;0
Mercredi;04/01/2023;20230104;08:00:00;HLB;0%;0,278212139
Mercredi;04/01/2023;20230104;08:30:00;HLB;0%;0,881005107
Mercredi;04/01/2023;20230104;09:00:00;HLB;1%;4,976906042
Mercredi;04/01/2023;20230104;09:30:00;HLB;5%;18,25380757
Mercredi;04/01/2023;20230104;10:00:00;HLB;8%;27,60482668
Mercredi;04/01/2023;20230104;10:30:00;HLB;8%;26,07465992
Mercredi;04/01/2023;20230104;11:00:00;HLB;7%;23,53983821
Mercredi;04/01/2023;20230104;11:30:00;HLB;6%;21,62326569
Mercredi;04/01/2023;20230104;12:00:00;HLB;4%;12,92140823
Mercredi;04/01/2023;20230104;12:30:00;HLB;2%;8,129976951
Mercredi;04/01/2023;20230104;13:00:00;HLB;2%;7,109865775
Mercredi;04/01/2023;20230104;13:30:00;HLB;3%;9,783793555
Mercredi;04/01/2023;20230104;14:00:00;HLB;6%;21,87056537
Mercredi;04/01/2023;20230104;14:30:00;HLB;7%;23,61711936
Mercredi;04/01/2023;20230104;15:00:00;HLB;6%;21,25231617
Mercredi;04/01/2023;20230104;15:30:00;HLB;6%;21,68509061
Mercredi;04/01/2023;20230104;16:00:00;HLB;6%;21,43779093
Mercredi;04/01/2023;20230104;16:30:00;HLB;6%;19,02661906
Mercredi;04/01/2023;20230104;17:00:00;HLB;5%;15,57987978
Mercredi;04/01/2023;20230104;17:30:00;HLB;4%;14,62159353
Mercredi;04/01/2023;20230104;18:00:00;HLB;3%;10,83481719
Mercredi;04/01/2023;20230104;18:30:00;HLB;2%;6,847109866
Mercredi;04/01/2023;20230104;19:00:00;HLB;1%;2,72029647
Mercredi;04/01/2023;20230104;19:30:00;HLB;0%;1,035567406
Mercredi;04/01/2023;20230104;20:00:00;HLB;0%;0,185474759
Mercredi;04/01/2023;20230104;20:30:00;HLB;0%;0,09273738
Mercredi;04/01/2023;20230104;21:00:00;HLB;0%;0,01545623
Mercredi;04/01/2023;20230104;21:30:00;HLB;0%;0
Mercredi;04/01/2023;20230104;08:00:00;Help Desk;0%;0,008948344
Mercredi;04/01/2023;20230104;08:30:00;Help Desk;0%;0,028336422
Mercredi;04/01/2023;20230104;09:00:00;Help Desk;1%;0,160075925
Mercredi;04/01/2023;20230104;09:30:00;Help Desk;5%;0,58711077
Mercredi;04/01/2023;20230104;10:00:00;Help Desk;8%;0,887874542
Mercredi;04/01/2023;20230104;10:30:00;Help Desk;8%;0,838658652
Mercredi;04/01/2023;20230104;11:00:00;Help Desk;7%;0,757129299
Mercredi;04/01/2023;20230104;11:30:00;Help Desk;6%;0,695485154
Mercredi;04/01/2023;20230104;12:00:00;Help Desk;4%;0,41560085
