Jour;Datation;Date_Format_1;Demiheure;Flux;Sous_Flux;Poids;Commande
Lundi;01/01/2024;20240101;08:00:00;Open;Mobile;0,021014715;0
Lundi;01/01/2024;20240101;08:30:00;Open;Mobile;0,027620979;0
Lundi;01/01/2024;20240101;09:00:00;Open;Mobile;0,043411913;0
Lundi;01/01/2024;20240101;09:30:00;Open;Mobile;0,054237385;0
Lundi;01/01/2024;20240101;10:00:00;Open;Mobile;0,060173935;0
Lundi;01/01/2024;20240101;10:30:00;Open;Mobile;0,06102543;0
Lundi;01/01/2024;20240101;11:00:00;Open;Mobile;0,058528348;0
Lundi;01/01/2024;20240101;11:30:00;Open;Mobile;0,050362603;0
Lundi;01/01/2024;20240101;12:00:00;Open;Mobile;0,038298157;0
Lundi;01/01/2024;20240101;12:30:00;Open;Mobile;0,034289432;0
Lundi;01/01/2024;20240101;13:00:00;Open;Mobile;0,036083313;0
Lundi;01/01/2024;20240101;13:30:00;Open;Mobile;0,040082471;0
Lundi;01/01/2024;20240101;14:00:00;Open;Mobile;0,042957464;0
Lundi;01/01/2024;20240101;14:30:00;Open;Mobile;0,041785461;0
Lundi;01/01/2024;20240101;15:00:00;Open;Mobile;0,042349936;0
Lundi;01/01/2024;20240101;15:30:00;Open;Mobile;0,043627179;0
Lundi;01/01/2024;20240101;16:00:00;Open;Mobile;0,044292111;0
Lundi;01/01/2024;20240101;16:30:00;Open;Mobile;0,042761333;0
Lundi;01/01/2024;20240101;17:00:00;Open;Mobile;0,046516523;0
Lundi;01/01/2024;20240101;17:30:00;Open;Mobile;0,0462008;0
Lundi;01/01/2024;20240101;18:00:00;Open;Mobile;0,044698724;0
Lundi;01/01/2024;20240101;18:30:00;Open;Mobile;0,037910679;0
Lundi;01/01/2024;20240101;19:00:00;Open;Mobile;0,025310461;0
Lundi;01/01/2024;20240101;19:30:00;Open;Mobile;0,016460649;0
Lundi;01/01/2024;20240101;20:00:00;Open;Mobile;0;0
Lundi;01/01/2024;20240101;20:30:00;Open;Mobile;0;0
Lundi;01/01/2024;20240101;21:00:00;Open;Mobile;0;0
Lundi;01/01/2024;20240101;21:30:00;Open;Mobile;0;0
Mardi;02/01/2024;20240102;08:00:00;Open;Mobile;0,021014715;29,27349745
Mardi;02/01/2024;20240102;08:30:00;Open;Mobile;0,027620979;38,47602419
Mardi;02/01/2024;20240102;09:00:00;Open;Mobile;0,043411913;60,4727952
Mardi;02/01/2024;20240102;09:30:00;Open;Mobile;0,054237385;75,55267791
Mardi;02/01/2024;20240102;10:00:00;Open;Mobile;0,060173935;83,822291
Mardi;02/01/2024;20240102;10:30:00;Open;Mobile;0,06102543;85,00842406
Mardi;02/01/2024;20240102;11:00:00;Open;Mobile;0,058528348;81,5299889
Mardi;02/01/2024;20240102;11:30:00;Open;Mobile;0,050362603;70,1551061
Mardi;02/01/2024;20240102;12:00:00;Open;Mobile;0,038298157;53,34933315
Mardi;02/01/2024;20240102;12:30:00;Open;Mobile;0,034289432;47,76517862
Mardi;02/01/2024;20240102;13:00:00;Open;Mobile;0,036083313;50,26405446
Mardi;02/01/2024;20240102;13:30:00;Open;Mobile;0,040082471;55,83488165
Mardi;02/01/2024;20240102;14:00:00;Open;Mobile;0,042957464;59,83974666
Mardi;02/01/2024;20240102;14:30:00;Open;Mobile;0,041785461;58,20714778
Mardi;02/01/2024;20240102;15:00:00;Open;Mobile;0,042349936;58,99346071
Mardi;02/01/2024;20240102;15:30:00;Open;Mobile;0,043627179;60,7726603
Mardi;02/01/2024;20240102;16:00:00;Open;Mobile;0,044292111;61,69891028
Mardi;02/01/2024;20240102;16:30:00;Open;Mobile;0,042761333;59,56653623
Mardi;02/01/2024;20240102;17:00:00;Open;Mobile;0,046516523;64,79751631
Mardi;02/01/2024;20240102;17:30:00;Open;Mobile;0,0462008;64,35771417
Mardi;02/01/2024;20240102;18:00:00;Open;Mobile;0,044698724;62,26532213
Mardi;02/01/2024;20240102;18:30:00;Open;Mobile;0,037910679;52,80957597
Mardi;02/01/2024;20240102;19:00:00;Open;Mobile;0,025310461;35,25747211
Mardi;02/01/2024;20240102;19:30:00;Open;Mobile;0,016460649;22,92968466
Mardi;02/01/2024;20240102;20:00:00;Open;Mobile;0;0
Mardi;02/01/2024;20240102;20:30:00;Open;Mobile;0;0
Mardi;02/01/2024;20240102;21:00:00;Open;Mobile;0;0
Mardi;02/01/2024;20240102;21:30:00;Open;Mobile;0;0
Mercredi;03/01/2024;20240103;08:00:00;Open;Mobile;0,021014715;28,36986472
Mercredi;03/01/2024;20240103;08:30:00;Open;Mobile;0,027620979;37,28832208
Mercredi;03/01/2024;20240103;09:00:00;Open;Mobile;0,043411913;58,60608293
Mercredi;03/01/2024;20240103;09:30:00;Open;Mobile;0,054237385;73,22047033
Mercredi;03/01/2024;20240103;10:00:00;Open;Mobile;0,060173935;81,23481181
Mercredi;03/01/2024;20240103;10:30:00;Open;Mobile;0,06102543;82,38433057
Mercredi;03/01/2024;20240103;11:00:00;Open;Mobile;0,058528348;79,01326993
Mercredi;03/01/2024;20240103;11:30:00;Open;Mobile;0,050362603;67,98951417
Mercredi;03/01/2024;20240103;12:00:00;Open;Mobile;0,038298157;51,70251239
Mercredi;03/01/2024;20240103;12:30:00;Open;Mobile;0,034289432;46,29073305
Mercredi;03/01/2024;20240103;13:00:00;Open;Mobile;0,036083313;48,71247202
Mercredi;03/01/2024;20240103;13:30:00;Open;Mobile;0,040082471;54,11133541
Mercredi;03/01/2024;20240103;14:00:00;Open;Mobile;0,042957464;57,99257573
Mercredi;03/01/2024;20240103;14:30:00;Open;Mobile;0,041785461;56,41037294
Mercredi;03/01/2024;20240103;15:00:00;Open;Mobile;0,042349936;57,17241346
Mercredi;03/01/2024;20240103;15:30:00;Open;Mobile;0,043627179;58,89669161
Mercredi;03/01/2024;20240103;16:00:00;Open;Mobile;0,044292111;59,79434951
Mercredi;03/01/2024;20240103;16:30:00;Open;Mobile;0,042761333;57,72779893
Mercredi;03/01/2024;20240103;17:00:00;Open;Mobile;0,046516523;62,79730583
Mercredi;03/01/2024;20240103;17:30:00;Open;Mobile;0,0462008;62,37107977
Mercredi;03/01/2024;20240103;18:00:00;Open;Mobile;0,044698724;60,34327701
Mercredi;03/01/2024;20240103;18:30:00;Open;Mobile;0,037910679;51,17941677
Mercredi;03/01/2024;20240103;19:00:00;Open;Mobile;0,025310461;34,16912229
Mercredi;03/01/2024;20240103;19:30:00;Open;Mobile;0,016460649;22,22187673
Mercredi;03/01/2024;20240103;20:00:00;Open;Mobile;0;0
Mercredi;03/01/2024;20240103;20:30:00;Open;Mobile;0;0
Mercredi;03/01/2024;20240103;21:00:00;Open;Mobile;0;0
Mercredi;03/01/2024;20240103;21:30:00;Open;Mobile;0;0
Jeudi;04/01/2024;20240104;08:00:00;Open;Mobile;0,021014715;22,90603892
Jeudi;04/01/2024;20240104;08:30:00;Open;Mobile;0,027620979;30,10686745
Jeudi;04/01/2024;20240104;09:00:00;Open;Mobile;0,043411913;47,31898548
Jeudi;04/01/2024;20240104;09:30:00;Open;Mobile;0,054237385;59,11875012
Jeudi;04/01/2024;20240104;10:00:00;Open;Mobile;0,060173935;65,58958879
Jeudi;04/01/2024;20240104;10:30:00;Open;Mobile;0,06102543;66,51771876
Jeudi;04/01/2024;20240104;11:00:00;Open;Mobile;0,058528348;63,79589943
Jeudi;04/01/2024;20240104;11:30:00;Open;Mobile;0,050362603;54,89523737
Jeudi;04/01/2024;20240104;12:00:00;Open;Mobile;0,038298157;41,74499149
Jeudi;04/01/2024;20240104;12:30:00;Open;Mobile;0,034289432;37,37548076
Jeudi;04/01/2024;20240104;13:00:00;Open;Mobile;0,036083313;39,33081074
Jeudi;04/01/2024;20240104;13:30:00;Open;Mobile;0,040082471;43,68989304
Jeudi;04/01/2024;20240104;14:00:00;Open;Mobile;0,042957464;46,82363522
Jeudi;04/01/2024;20240104;14:30:00;Open;Mobile;0,041785461;45,54615296
Jeudi;04/01/2024;20240104;15:00:00;Open;Mobile;0,042349936;46,16143013
Jeudi;04/01/2024;20240104;15:30:00;Open;Mobile;0,043627179;47,55362507
Jeudi;04/01/2024;20240104;16:00:00;Open;Mobile;0,044292111;48,27840072
Jeudi;04/01/2024;20240104;16:30:00;Open;Mobile;0,042761333;46,60985247
Jeudi;04/01/2024;20240104;17:00:00;Open;Mobile;0,046516523;50,70300989
Jeudi;04/01/2024;20240104;17:30:00;Open;Mobile;0,0462008;50,35887182
Jeudi;04/01/2024;20240104;18:00:00;Open;Mobile;0,044698724;48,72160885
Jeudi;04/01/2024;20240104;18:30:00;Open;Mobile;0,037910679;41,32264021
Jeudi;04/01/2024;20240104;19:00:00;Open;Mobile;0,025310461;27,58840244
Jeudi;04/01/2024;20240104;19:30:00;Open;Mobile;0,016460649;17,94210788
Jeudi;04/01/2024;20240104;20:00:00;Open;Mobile;0;0
Jeudi;04/01/2024;20240104;20:30:00;Open;Mobile;0;0
Jeudi;04/01/2024;20240104;21:00:00;Open;Mobile;0;0
Jeudi;04/01/2024;20240104;21:30:00;Open;Mobile;0;0
Vendredi;05/01/2024;20240105;08:00:00;Open;Mobile;0,021014715;24,88142209
Vendredi;05/01/2024;20240105;08:30:00;Open;Mobile;0,027620979;32,70323951
Vendredi;05/01/2024;20240105;09:00:00;Open;Mobile;0,043411913;51,39970533
Vendredi;05/01/2024;20240105;09:30:00;Open;Mobile;0,054237385;64,21706435
Vendredi;05/01/2024;20240105;10:00:00;Open;Mobile;0,060173935;71,24593865
Vendredi;05/01/2024;20240105;10:30:00;Open;Mobile;0,06102543;72,25410918
Vendredi;05/01/2024;20240105;11:00:00;Open;Mobile;0,058528348;69,29756415
Vendredi;05/01/2024;20240105;11:30:00;Open;Mobile;0,050362603;59,62932206
Vendredi;05/01/2024;20240105;12:00:00;Open;Mobile;0,038298157;45,34501827
Vendredi;05/01/2024;20240105;12:30:00;Open;Mobile;0,034289432;40,59868736
Vendredi;05/01/2024;20240105;13:00:00;Open;Mobile;0,036083313;42,72264212
Vendredi;05/01/2024;20240105;13:30:00;Open;Mobile;0,040082471;47,45764528
Vendredi;05/01/2024;20240105;14:00:00;Open;Mobile;0,042957464;50,86163678
Vendredi;05/01/2024;20240105;14:30:00;Open;Mobile;0,041785461;49,47398634
Vendredi;05/01/2024;20240105;15:00:00;Open;Mobile;0,042349936;50,1423241
