Jour;Date;Date_Format_1;Flux;Commande;Capacitaire
Dimanche;01/01/2023;20230101;HLB;0;0
Dimanche;01/01/2023;20230101;Help Desk;0;0
Lundi;02/01/2023;20230102;HLB;379;535,3333524
Lundi;02/01/2023;20230102;Help Desk;13;0
Mardi;03/01/2023;20230103;HLB;336;494,236512
Mardi;03/01/2023;20230103;Help Desk;11;0
Mercredi;04/01/2023;20230104;HLB;342;496,1167596
Mercredi;04/01/2023;20230104;Help Desk;11;0
Jeudi;05/01/2023;20230105;HLB;332;478,6573176
Jeudi;05/01/2023;20230105;Help Desk;11;0
Vendredi;06/01/2023;20230106;HLB;317;446,9617152
Vendredi;06/01/2023;20230106;Help Desk;11;0
Samedi;07/01/2023;20230107;HLB;230;235,03095
Samedi;07/01/2023;20230107;Help Desk;8;0
Dimanche;08/01/2023;20230108;HLB;0;0
Dimanche;08/01/2023;20230108;Help Desk;0;0
Lundi;09/01/2023;20230109;HLB;393;535,3333524
Lundi;09/01/2023;20230109;Help Desk;13;0
Mardi;10/01/2023;20230110;HLB;349;494,236512
Mardi;10/01/2023;20230110;Help Desk;12;0
Mercredi;11/01/2023;20230111;HLB;356;496,1167596
Mercredi;11/01/2023;20230111;Help Desk;12;0
Jeudi;12/01/2023;20230112;HLB;345;478,6573176
Jeudi;12/01/2023;20230112;Help Desk;12;0
Vendredi;13/01/2023;20230113;HLB;330;446,9617152
Vendredi;13/01/2023;20230113;Help Desk;11;0
Samedi;14/01/2023;20230114;HLB;239;235,03095
Samedi;14/01/2023;20230114;Help Desk;8;0
Dimanche;15/01/2023;20230115;HLB;0;0
Dimanche;15/01/2023;20230115;Help Desk;0;0
Lundi;16/01/2023;20230116;HLB;356;535,3333524
Lundi;16/01/2023;20230116;Help Desk;12;0
Mardi;17/01/2023;20230117;HLB;316;494,236512
Mardi;17/01/2023;20230117;Help Desk;11;0
Mercredi;18/01/2023;20230118;HLB;322;496,1167596
Mercredi;18/01/2023;20230118;Help Desk;11;0
Jeudi;19/01/2023;20230119;HLB;313;478,6573176
Jeudi;19/01/2023;20230119;Help Desk;10;0
Vendredi;20/01/2023;20230120;HLB;299;446,9617152
Vendredi;20/01/2023;20230120;Help Desk;10;0
Samedi;21/01/2023;20230121;HLB;216;235,03095
Samedi;21/01/2023;20230121;Help Desk;7;0
Dimanche;22/01/2023;20230122;HLB;0;0
Dimanche;22/01/2023;20230122;Help Desk;0;0
Lundi;23/01/2023;20230123;HLB;356;535,3333524
Lundi;23/01/2023;20230123;Help Desk;12;0
Mardi;24/01/2023;20230124;HLB;316;494,236512
Mardi;24/01/2023;20230124;Help Desk;11;0
Mercredi;25/01/2023;20230125;HLB;322;496,1167596
Mercredi;25/01/2023;20230125;Help Desk;11;0
Jeudi;26/01/2023;20230126;HLB;313;478,6573176
Jeudi;26/01/2023;20230126;Help Desk;10;0
Vendredi;27/01/2023;20230127;HLB;299;446,9617152
Vendredi;27/01/2023;20230127;Help Desk;10;0
Samedi;28/01/2023;20230128;HLB;216;235,03095
Samedi;28/01/2023;20230128;Help Desk;7;0
Dimanche;29/01/2023;20230129;HLB;0;0
Dimanche;29/01/2023;20230129;Help Desk;0;0
Lundi;30/01/2023;20230130;HLB;347;535,3333524
Lundi;30/01/2023;20230130;Help Desk;12;0
Mardi;31/01/2023;20230131;HLB;308;494,236512
Mardi;31/01/2023;20230131;Help Desk;10;0
Mercredi;01/02/2023;20230201;HLB;336;496,1167596
Mercredi;01/02/2023;20230201;Help Desk;22;0
Jeudi;02/02/2023;20230202;HLB;322;478,6573176
Jeudi;02/02/2023;20230202;Help Desk;21;0
Vendredi;03/02/2023;20230203;HLB;320;446,9617152
Vendredi;03/02/2023;20230203;Help Desk;21;0
Samedi;04/02/2023;20230204;HLB;212;235,03095
Samedi;04/02/2023;20230204;Help Desk;14;0
Dimanche;05/02/2023;20230205;HLB;0;0
Dimanche;05/02/2023;20230205;Help Desk;0;0
Lundi;06/02/2023;20230206;HLB;387;535,3333524
Lundi;06/02/2023;20230206;Help Desk;25;0
Mardi;07/02/2023;20230207;HLB;327;494,236512
Mardi;07/02/2023;20230207;Help Desk;21;0
Mercredi;08/02/2023;20230208;HLB;333;496,1167596
Mercredi;08/02/2023;20230208;Help Desk;22;0
Jeudi;09/02/2023;20230209;HLB;319;478,6573176
Jeudi;09/02/2023;20230209;Help Desk;21;0
Vendredi;10/02/2023;20230210;HLB;318;446,9617152
Vendredi;10/02/2023;20230210;Help Desk;21;0
Samedi;11/02/2023;20230211;HLB;210;235,03095
Samedi;11/02/2023;20230211;Help Desk;14;0
Dimanche;12/02/2023;20230212;HLB;0;0
Dimanche;12/02/2023;20230212;Help Desk;0;0
Lundi;13/02/2023;20230213;HLB;393;535,3333524
Lundi;13/02/2023;20230213;Help Desk;25;0
Mardi;14/02/2023;20230214;HLB;332;494,236512
Mardi;14/02/2023;20230214;Help Desk;21;0
Mercredi;15/02/2023;20230215;HLB;339;496,1167596
Mercredi;15/02/2023;20230215;Help Desk;22;0
Jeudi;16/02/2023;20230216;HLB;324;478,6573176
Jeudi;16/02/2023;20230216;Help Desk;21;0
Vendredi;17/02/2023;20230217;HLB;323;446,9617152
Vendredi;17/02/2023;20230217;Help Desk;21;0
Samedi;18/02/2023;20230218;HLB;214;235,03095
Samedi;18/02/2023;20230218;Help Desk;14;0
Dimanche;19/02/2023;20230219;HLB;0;0
Dimanche;19/02/2023;20230219;Help Desk;0;0
Lundi;20/02/2023;20230220;HLB;399;535,3333524
Lundi;20/02/2023;20230220;Help Desk;26;0
Mardi;21/02/2023;20230221;HLB;337;494,236512
Mardi;21/02/2023;20230221;Help Desk;22;0
Mercredi;22/02/2023;20230222;HLB;344;496,1167596
Mercredi;22/02/2023;20230222;Help Desk;22;0
Jeudi;23/02/2023;20230223;HLB;329;478,6573176
Jeudi;23/02/2023;20230223;Help Desk;21;0
Vendredi;24/02/2023;20230224;HLB;328;446,9617152
Vendredi;24/02/2023;20230224;Help Desk;21;0
Samedi;25/02/2023;20230225;HLB;217;235,03095
Samedi;25/02/2023;20230225;Help Desk;14;0
Dimanche;26/02/2023;20230226;HLB;0;0
Dimanche;26/02/2023;20230226;Help Desk;0;0
Lundi;27/02/2023;20230227;HLB;375;535,3333524
Lundi;27/02/2023;20230227;Help Desk;24;0
Mardi;28/02/2023;20230228;HLB;317;494,236512
Mardi;28/02/2023;20230228;Help Desk;20;0
Mercredi;01/03/2023;20230301;HLB;337;496,1167596
Mercredi;01/03/2023;20230301;Help Desk;18;0
Jeudi;02/03/2023;20230302;HLB;322;478,6573176
Jeudi;02/03/2023;20230302;Help Desk;17;0
Vendredi;03/03/2023;20230303;HLB;321;446,9617152
Vendredi;03/03/2023;20230303;Help Desk;17;0
Samedi;04/03/2023;20230304;HLB;212;235,03095
Samedi;04/03/2023;20230304;Help Desk;11;0
Dimanche;05/03/2023;20230305;HLB;0;0
Dimanche;05/03/2023;20230305;Help Desk;0;0
Lundi;06/03/2023;20230306;HLB;411;535,3333524
Lundi;06/03/2023;20230306;Help Desk;22;0
Mardi;07/03/2023;20230307;HLB;347;494,236512
Mardi;07/03/2023;20230307;Help Desk;19;0
Mercredi;08/03/2023;20230308;HLB;354;496,1167596
Mercredi;08/03/2023;20230308;Help Desk;19;0
Jeudi;09/03/2023;20230309;HLB;339;478,6573176
Jeudi;09/03/2023;20230309;Help Desk;18;0
Vendredi;10/03/2023;20230310;HLB;337;446,9617152
Vendredi;10/03/2023;20230310;Help Desk;18;0
Samedi;11/03/2023;20230311;HLB;223;235,03095
Samedi;11/03/2023;20230311;Help Desk;12;0
Dimanche;12/03/2023;20230312;HLB;0;0
Dimanche;12/03/2023;20230312;Help Desk;0;0
Lundi;13/03/2023;20230313;HLB;390;535,3333524
Lundi;13/03/2023;20230313;Help Desk;21;0
Mardi;14/03/2023;20230314;HLB;329;494,236512
Mardi;14/03/2023;20230314;Help Desk;18;0
Mercredi;15/03/2023;20230315;HLB;336;496,1167596
Mercredi;15/03/2023;20230315;Help Desk;18;0
Jeudi;16/03/2023;20230316;HLB;321;478,6573176
Jeudi;16/03/2023;20230316;Help Desk;17;0
Vendredi;17/03/2023;20230317;HLB;320;446,9617152
Vendredi;17/03/2023;20230317;Help Desk;17;0
Samedi;18/03/2023;20230318;HLB;212;235,03095
Samedi;18/03/2023;20230318;Help Desk;11;0
Dimanche;19/03/2023;20230319;HLB;0;0
Dimanche;19/03/2023;20230319;Help Desk;0;0
Lundi;20/03/2023;20230320;HLB;377;535,3333524
Lundi;20/03/2023;20230320;Help Desk;20;0
Mardi;21/03/2023;20230321;HLB;318;494,236512
Mardi;21/03/2023;20230321;Help Desk;17;0
Mercredi;22/03/2023;20230322;HLB;325;496,1167596
Mercredi;22/03/2023;20230322;Help Desk;17;0
Jeudi;23/03/2023;20230323;HLB;311;478,6573176
Jeudi;23/03/2023;20230323;Help Desk;17;0
Vendredi;24/03/2023;20230324;HLB;310;446,9617152
Vendredi;24/03/2023;20230324;Help Desk;17;0
Samedi;25/03/2023;20230325;HLB;205;235,03095
Samedi;25/03/2023;20230325;Help Desk;11;0
Dimanche;26/03/2023;20230326;HLB;0;0
Dimanche;26/03/2023;20230326;Help Desk;0;0
Lundi;27/03/2023;20230327;HLB;396;486,666684
Lundi;27/03/2023;20230327;Help Desk;21;0
Mardi;28/03/2023;20230328;HLB;334;449,30592
Mardi;28/03/2023;20230328;Help Desk;18;0
Mercredi;29/03/2023;20230329;HLB;341;451,015236
Mercredi;29/03/2023;20230329;Help Desk;18;0
Jeudi;30/03/2023;20230330;HLB;326;435,143016
Jeudi;30/03/2023;20230330;Help Desk;17;0
Vendredi;31/03/2023;20230331;HLB;325;406,328832
Vendredi;31/03/2023;20230331;Help Desk;17;0
Samedi;01/04/2023;20230401;HLB;215;213,6645
Samedi;01/04/2023;20230401;Help Desk;12;0
Dimanche;02/04/2023;20230402;HLB;0;0
