Jour;Date;Date_Format_1;Flux;Sous_Flux;Commande;Capacitaire
Dimanche;01/01/2023;20230101;DART;Convergents;0;0
Dimanche;01/01/2023;20230101;DART;Mobile;0;0
Dimanche;01/01/2023;20230101;Open;ADSL;0;0
Dimanche;01/01/2023;20230101;Open;Fibre;0;0
Dimanche;01/01/2023;20230101;Open;Mobile;0;0
Lundi;02/01/2023;20230102;DART;Convergents;0;0
Lundi;02/01/2023;20230102;DART;Mobile;0;0
Lundi;02/01/2023;20230102;Open;ADSL;2658;0
Lundi;02/01/2023;20230102;Open;Fibre;2191;0
Lundi;02/01/2023;20230102;Open;Mobile;793;5563,441339
Lundi;02/01/2023;20230102;Open;Premium;0;0
Mardi;03/01/2023;20230103;DART;Convergents;0;0
Mardi;03/01/2023;20230103;DART;Mobile;0;0
Mardi;03/01/2023;20230103;Open;ADSL;2288;0
Mardi;03/01/2023;20230103;Open;Fibre;1916;0
Mardi;03/01/2023;20230103;Open;Mobile;698;5456,28035
Mardi;03/01/2023;20230103;Open;Premium;0;0
Mercredi;04/01/2023;20230104;DART;Convergents;0;0
Mercredi;04/01/2023;20230104;DART;Mobile;0;0
Mercredi;04/01/2023;20230104;Open;ADSL;2363;0
Mercredi;04/01/2023;20230104;Open;Fibre;1988;0
Mercredi;04/01/2023;20230104;Open;Mobile;685;5747,363412
Mercredi;04/01/2023;20230104;Open;Premium;0;0
Jeudi;05/01/2023;20230105;DART;Convergents;0;0
Jeudi;05/01/2023;20230105;DART;Mobile;0;0
Jeudi;05/01/2023;20230105;Open;ADSL;2130;0
Jeudi;05/01/2023;20230105;Open;Fibre;1807;0
Jeudi;05/01/2023;20230105;Open;Mobile;639;5033,339178
Jeudi;05/01/2023;20230105;Open;Premium;0;0
Vendredi;06/01/2023;20230106;DART;Convergents;0;0
Vendredi;06/01/2023;20230106;DART;Mobile;0;0
Vendredi;06/01/2023;20230106;Open;ADSL;2160;0
Vendredi;06/01/2023;20230106;Open;Fibre;1844;0
Vendredi;06/01/2023;20230106;Open;Mobile;628;4961,605128
Vendredi;06/01/2023;20230106;Open;Premium;0;0
Samedi;07/01/2023;20230107;DART;Convergents;0;0
Samedi;07/01/2023;20230107;DART;Mobile;0;0
Samedi;07/01/2023;20230107;Open;ADSL;1346;0
Samedi;07/01/2023;20230107;Open;Fibre;1135;0
Samedi;07/01/2023;20230107;Open;Mobile;405;3127,077973
Samedi;07/01/2023;20230107;Open;Premium;0;0
Dimanche;08/01/2023;20230108;DART;Convergents;0;0
Dimanche;08/01/2023;20230108;DART;Mobile;0;0
Dimanche;08/01/2023;20230108;Open;ADSL;0;0
Dimanche;08/01/2023;20230108;Open;Fibre;0;0
Dimanche;08/01/2023;20230108;Open;Mobile;0;0
Lundi;09/01/2023;20230109;DART;Convergents;0;0
Lundi;09/01/2023;20230109;DART;Mobile;0;0
Lundi;09/01/2023;20230109;Open;ADSL;2271;0
Lundi;09/01/2023;20230109;Open;Fibre;1886;0
Lundi;09/01/2023;20230109;Open;Mobile;633;6053,56057
Lundi;09/01/2023;20230109;Open;Premium;0;0
Mardi;10/01/2023;20230110;DART;Convergents;75;0
Mardi;10/01/2023;20230110;DART;Mobile;17;0
Mardi;10/01/2023;20230110;Open;ADSL;1954;0
Mardi;10/01/2023;20230110;Open;Fibre;1647;0
Mardi;10/01/2023;20230110;Open;Mobile;557;5894,491564
Mardi;10/01/2023;20230110;Open;Premium;0;0
Mercredi;11/01/2023;20230111;DART;Convergents;77;0
Mercredi;11/01/2023;20230111;DART;Mobile;17;0
Mercredi;11/01/2023;20230111;Open;ADSL;2017;0
Mercredi;11/01/2023;20230111;Open;Fibre;1710;0
Mercredi;11/01/2023;20230111;Open;Mobile;545;6072,986208
Mercredi;11/01/2023;20230111;Open;Premium;0;0
Jeudi;12/01/2023;20230112;DART;Convergents;69;0
Jeudi;12/01/2023;20230112;DART;Mobile;15;0
Jeudi;12/01/2023;20230112;Open;ADSL;1817;0
Jeudi;12/01/2023;20230112;Open;Fibre;1555;0
Jeudi;12/01/2023;20230112;Open;Mobile;509;5610,42024
Jeudi;12/01/2023;20230112;Open;Premium;0;0
Vendredi;13/01/2023;20230113;DART;Convergents;71;0
Vendredi;13/01/2023;20230113;DART;Mobile;15;0
Vendredi;13/01/2023;20230113;Open;ADSL;1843;0
Vendredi;13/01/2023;20230113;Open;Fibre;1587;0
Vendredi;13/01/2023;20230113;Open;Mobile;500;5508,484956
Vendredi;13/01/2023;20230113;Open;Premium;0;0
Samedi;14/01/2023;20230114;DART;Convergents;44;0
Samedi;14/01/2023;20230114;DART;Mobile;10;0
Samedi;14/01/2023;20230114;Open;ADSL;1149;0
Samedi;14/01/2023;20230114;Open;Fibre;976;0
Samedi;14/01/2023;20230114;Open;Mobile;322;3475,773925
Samedi;14/01/2023;20230114;Open;Premium;0;0
Dimanche;15/01/2023;20230115;DART;Convergents;0;0
Dimanche;15/01/2023;20230115;DART;Mobile;0;0
Dimanche;15/01/2023;20230115;Open;ADSL;0;0
Dimanche;15/01/2023;20230115;Open;Fibre;0;0
Dimanche;15/01/2023;20230115;Open;Mobile;0;0
Lundi;16/01/2023;20230116;DART;Convergents;174;0
Lundi;16/01/2023;20230116;DART;Mobile;39;0
Lundi;16/01/2023;20230116;Open;ADSL;2275;0
Lundi;16/01/2023;20230116;Open;Fibre;1872;0
Lundi;16/01/2023;20230116;Open;Mobile;659;5718,28264
Lundi;16/01/2023;20230116;Open;Premium;0;0
Mardi;17/01/2023;20230117;DART;Convergents;149;0
Mardi;17/01/2023;20230117;DART;Mobile;34;0
Mardi;17/01/2023;20230117;Open;ADSL;1958;0
Mardi;17/01/2023;20230117;Open;Fibre;1636;0
Mardi;17/01/2023;20230117;Open;Mobile;579;5617,846015
Mardi;17/01/2023;20230117;Open;Premium;0;0
Mercredi;18/01/2023;20230118;DART;Convergents;155;0
Mercredi;18/01/2023;20230118;DART;Mobile;33;0
Mercredi;18/01/2023;20230118;Open;ADSL;2021;0
Mercredi;18/01/2023;20230118;Open;Fibre;1696;0
Mercredi;18/01/2023;20230118;Open;Mobile;567;5978,509136
Mercredi;18/01/2023;20230118;Open;Premium;0;0
Jeudi;19/01/2023;20230119;DART;Convergents;140;0
Jeudi;19/01/2023;20230119;DART;Mobile;32;0
Jeudi;19/01/2023;20230119;Open;ADSL;1821;0
Jeudi;19/01/2023;20230119;Open;Fibre;1543;0
Jeudi;19/01/2023;20230119;Open;Mobile;528;5290,493634
Jeudi;19/01/2023;20230119;Open;Premium;0;0
Vendredi;20/01/2023;20230120;DART;Convergents;141;0
Vendredi;20/01/2023;20230120;DART;Mobile;31;0
Vendredi;20/01/2023;20230120;Open;ADSL;1848;0
Vendredi;20/01/2023;20230120;Open;Fibre;1574;0
Vendredi;20/01/2023;20230120;Open;Mobile;519;5173,338754
Vendredi;20/01/2023;20230120;Open;Premium;0;0
Samedi;21/01/2023;20230121;DART;Convergents;88;0
Samedi;21/01/2023;20230121;DART;Mobile;20;0
Samedi;21/01/2023;20230121;Open;ADSL;1152;0
Samedi;21/01/2023;20230121;Open;Fibre;969;0
Samedi;21/01/2023;20230121;Open;Mobile;335;3263,581962
Samedi;21/01/2023;20230121;Open;Premium;0;0
Dimanche;22/01/2023;20230122;DART;Convergents;0;0
Dimanche;22/01/2023;20230122;DART;Mobile;0;0
Dimanche;22/01/2023;20230122;Open;ADSL;0;0
Dimanche;22/01/2023;20230122;Open;Fibre;0;0
Dimanche;22/01/2023;20230122;Open;Mobile;0;0
Lundi;23/01/2023;20230123;DART;Convergents;348;0
Lundi;23/01/2023;20230123;DART;Mobile;77;0
Lundi;23/01/2023;20230123;Open;ADSL;2235;0
Lundi;23/01/2023;20230123;Open;Fibre;1862;0
Lundi;23/01/2023;20230123;Open;Mobile;656;5950,873972
Lundi;23/01/2023;20230123;Open;Premium;0;0
Mardi;24/01/2023;20230124;DART;Convergents;300;0
Mardi;24/01/2023;20230124;DART;Mobile;68;0
Mardi;24/01/2023;20230124;Open;ADSL;1922;0
Mardi;24/01/2023;20230124;Open;Fibre;1627;0
Mardi;24/01/2023;20230124;Open;Mobile;575;5819,263389
Mardi;24/01/2023;20230124;Open;Premium;0;0
Mercredi;25/01/2023;20230125;DART;Convergents;310;0
Mercredi;25/01/2023;20230125;DART;Mobile;67;0
Mercredi;25/01/2023;20230125;Open;ADSL;1984;0
Mercredi;25/01/2023;20230125;Open;Fibre;1689;0
Mercredi;25/01/2023;20230125;Open;Mobile;564;6277,056684
Mercredi;25/01/2023;20230125;Open;Premium;0;0
Jeudi;26/01/2023;20230126;DART;Convergents;279;0
Jeudi;26/01/2023;20230126;DART;Mobile;62;0
Jeudi;26/01/2023;20230126;Open;ADSL;1789;0
Jeudi;26/01/2023;20230126;Open;Fibre;1535;0
Jeudi;26/01/2023;20230126;Open;Mobile;527;5535,733541
Jeudi;26/01/2023;20230126;Open;Premium;0;0
Vendredi;27/01/2023;20230127;DART;Convergents;283;0
Vendredi;27/01/2023;20230127;DART;Mobile;61;0
Vendredi;27/01/2023;20230127;Open;ADSL;1814;0
Vendredi;27/01/2023;20230127;Open;Fibre;1568;0
Vendredi;27/01/2023;20230127;Open;Mobile;518;5456,839476
Vendredi;27/01/2023;20230127;Open;Premium;0;0
Samedi;28/01/2023;20230128;DART;Convergents;176;0
Samedi;28/01/2023;20230128;DART;Mobile;40;0
Samedi;28/01/2023;20230128;Open;ADSL;1132;0
Samedi;28/01/2023;20230128;Open;Fibre;964;0
Samedi;28/01/2023;20230128;Open;Mobile;333;3440,988357
Samedi;28/01/2023;20230128;Open;Premium;0;0
Dimanche;29/01/2023;20230129;DART;Convergents;0;0
Dimanche;29/01/2023;20230129;DART;Mobile;0;0
Dimanche;29/01/2023;20230129;Open;ADSL;0;0
Dimanche;29/01/2023;20230129;Open;Fibre;0;0
Dimanche;29/01/2023;20230129;Open;Mobile;0;0
Lundi;30/01/2023;20230130;DART;Convergents;870;0
Lundi;30/01/2023;20230130;DART;Mobile;194;0
Lundi;30/01/2023;20230130;Open;ADSL;2217;0
Lundi;30/01/2023;20230130;Open;Fibre;1768;0
Lundi;30/01/2023;20230130;Open;Mobile;618;5908,809582
Lundi;30/01/2023;20230130;Open;Premium;0;0
Mardi;31/01/2023;20230131;DART;Convergents;750;0
Mardi;31/01/2023;20230131;DART;Mobile;170;0
Mardi;31/01/2023;20230131;Open;ADSL;1908;0
Mardi;31/01/2023;20230131;Open;Fibre;1546;0
Mardi;31/01/2023;20230131;Open;Mobile;542;5794,996235
Mardi;31/01/2023;20230131;Open;Premium;0;0
Mercredi;01/02/2023;20230201;DART;Convergents;773;0
Mercredi;01/02/2023;20230201;DART;Mobile;167;0
Mercredi;01/02/2023;20230201;Open;ADSL;2002;0
